epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-4.129460000000003,0.10989493444558775,0.322,0.020895741192884256,0.382,0.02172905888436036,0.23,0.01882020191177555,0.291,0.06502180554874809,0.51576628355091
10,-4.010880000000003,0.11140006486174067,0.342,0.021214900423994452,0.414,0.0220274374360705,0.252,0.019416281827373642,0.315,0.08875632145746941,0.501169949025393
15,-4.002440000000003,0.11127490684246842,0.346,0.021273645667821018,0.414,0.0220274374360705,0.276,0.01999119806314769,0.328,0.11511670434841507,0.5083346763419311
20,-3.6760600000000023,0.11898889256060848,0.386,0.0217717247823869,0.476,0.02233490541730589,0.204,0.018021320706318948,0.3175,0.12258668321684184,0.5136995818430151
25,-3.0860000000000025,0.12566996777273406,0.46,0.022289010745208053,0.556,0.022219990999098087,0.346,0.021273645667821018,0.427,0.15448434343519768,0.5524856149386627
30,-3.0839000000000025,0.12576372919089204,0.46,0.022289010745208053,0.556,0.022219990999098087,0.346,0.021273645667821018,0.427,0.16546161237968077,0.5485883801889144
35,-3.0530200000000023,0.1268529186073384,0.458,0.022281651644346298,0.562,0.022188104921331157,0.3,0.020493901531919195,0.405,0.175474955958674,0.5463878254452094
40,-3.0833600000000025,0.12690678083065549,0.454,0.022265848288354075,0.562,0.022188104921331157,0.3,0.020493901531919195,0.404,0.17567938297967892,0.5509276453078671
45,-3.1003400000000023,0.1267904040880067,0.448,0.02223942445298439,0.562,0.022188104921331157,0.268,0.0198078772209442,0.3865,0.17961550781277796,0.5482179405863357
50,-3.770720000000002,0.1126298031748259,0.394,0.021852414054287,0.524,0.02233490541730589,0.152,0.016055902341506688,0.3055,0.1875752645624058,0.5450324310391932
55,-3.3532000000000024,0.12755296437166808,0.398,0.02189045454073533,0.524,0.02233490541730589,0.166,0.016639951923007473,0.3135,0.18994777294055992,0.5412360182906633
60,-3.196920000000002,0.12709498899327237,0.432,0.022152923057691506,0.562,0.022188104921331157,0.196,0.01775297158224504,0.34650000000000003,0.1912064043032978,0.5381278888412503
65,-3.246940000000002,0.1265334235401857,0.428,0.022127629787213995,0.556,0.022219990999098087,0.198,0.01782111107647332,0.345,0.1973396383612527,0.5346638147148239
70,-3.341240000000003,0.1281064031373921,0.4,0.021908902300206645,0.53,0.022320394261750844,0.166,0.016639951923007473,0.3155,0.20307325802309095,0.5336219411985298
75,-3.232020000000002,0.1269981174632129,0.426,0.02211442967837968,0.558,0.022209727598509622,0.196,0.01775297158224504,0.344,0.2034791091756512,0.5308594601533109
80,-3.089260000000002,0.12724276366379358,0.446,0.022229889788300795,0.558,0.022209727598509622,0.268,0.0198078772209442,0.385,0.21433626281420898,0.533189869495938
85,-3.3555400000000017,0.11662520060775897,0.452,0.022257403262734853,0.552,0.02223942445298439,0.268,0.0198078772209442,0.385,0.20155391483678028,0.5371343377956131
90,-3.202760000000002,0.11746711524848145,0.472,0.022325590697672478,0.59,0.02199545407578575,0.276,0.01999119806314769,0.40349999999999997,0.20266124711137487,0.5327869462210884
95,-3.3351000000000024,0.11661663166118298,0.456,0.022273930950777416,0.558,0.022209727598509622,0.316,0.020791536739741004,0.4115,0.20815486713413395,0.5318936015229283
100,-3.0362200000000024,0.12774655151196854,0.452,0.022257403262734853,0.562,0.022188104921331157,0.268,0.0198078772209442,0.3875,0.21336737113797763,0.5305378447733653
105,-3.128180000000002,0.12846366714055776,0.436,0.02217674457624473,0.532,0.022314838112789434,0.316,0.020791536739741004,0.4,0.21099828912958282,0.5310721318168873
110,-3.1734600000000017,0.11683319244461321,0.48,0.022342784070030305,0.59,0.02199545407578575,0.322,0.020895741192884256,0.4285,0.21386762061690306,0.5290746322279936
115,-3.128640000000002,0.11706074107402543,0.486,0.022351912669836556,0.592,0.021978898971513564,0.322,0.020895741192884256,0.4305,0.20795286552292044,0.5300437064028795
120,-3.138260000000002,0.1171365764601306,0.484,0.022349228174592516,0.592,0.021978898971513564,0.322,0.020895741192884256,0.43000000000000005,0.20474470876906636,0.5288787657331764
125,-3.148220000000002,0.1174206304837443,0.484,0.022349228174592516,0.592,0.021978898971513564,0.322,0.020895741192884256,0.43000000000000005,0.21144856755012584,0.5282732148647002
130,-3.166600000000002,0.11782691407314384,0.476,0.02233490541730589,0.592,0.021978898971513564,0.278,0.020035768016225385,0.406,0.20972995614677115,0.5290411551895239
135,-3.287420000000002,0.11692785077645113,0.458,0.022281651644346298,0.56,0.02219909908081857,0.318,0.020826713614970557,0.4135,0.2117085863981088,0.5271851756609379
140,-3.162340000000002,0.11645468753468029,0.48,0.022342784070030305,0.588,0.02201163328787757,0.322,0.020895741192884256,0.42800000000000005,0.21251405195155867,0.5291698560128221
145,-3.2110800000000017,0.11552362558022504,0.472,0.022325590697672478,0.582,0.02205792374635473,0.292,0.0203340109176719,0.4095,0.21046042662832234,0.5409343970234313
150,-3.209180000000002,0.11604522159572113,0.47,0.022320394261750844,0.588,0.02201163328787757,0.292,0.0203340109176719,0.4105,0.22593489750351073,0.5390007448723345
155,-3.6730800000000023,0.11408414888668815,0.4,0.021908902300206645,0.476,0.02233490541730589,0.318,0.020826713614970557,0.378,0.22530929692695723,0.5380592289297799
160,-3.2526400000000018,0.1141688348928902,0.48,0.022342784070030305,0.584,0.02204286732709699,0.32,0.020861447696648473,0.42600000000000005,0.2248843505186274,0.5370571978538179
165,-3.3916200000000023,0.11632469708191819,0.442,0.022209727598509622,0.534,0.022308921982023246,0.318,0.020826713614970557,0.403,0.22480030830360084,0.539083714117842
170,-3.7186600000000025,0.11463997561409382,0.384,0.02175058619899703,0.44,0.022199099080818574,0.302,0.020532705618110828,0.357,0.23355721492823847,0.5350396321378863
175,-3.4904200000000025,0.11452646177718065,0.438,0.02218810492133116,0.53,0.022320394261750844,0.334,0.02109236828807993,0.40900000000000003,0.22695510768111435,0.5372844634340177
180,-3.5811800000000025,0.11779421044856161,0.386,0.0217717247823869,0.464,0.022302645582979615,0.284,0.020166506886419373,0.35450000000000004,0.23206266478267257,0.5372164011917994
185,-3.3174400000000017,0.11563384838705328,0.462,0.022296008611408458,0.564,0.02217674457624473,0.334,0.02109236828807993,0.4235,0.22668211483787376,0.5376995602416198
190,-3.639040000000002,0.11382491008913657,0.408,0.021978898971513564,0.448,0.02223942445298439,0.336,0.02112363605064242,0.382,0.23195529246582272,0.5367346403310117
195,-3.5756200000000025,0.11779394734535396,0.39,0.02181284025522582,0.464,0.022302645582979615,0.298,0.020454632727086544,0.36250000000000004,0.22817893640342848,0.5372278112810747
200,-3.6294400000000024,0.11595539906705518,0.39,0.02181284025522582,0.466,0.022308921982023246,0.298,0.020454632727086544,0.363,0.22848507644540603,0.5372352459581902
205,-3.5696000000000025,0.11701699227035374,0.398,0.02189045454073533,0.472,0.022325590697672478,0.296,0.02041489652190282,0.3655,0.22583772729865104,0.5391093722946135
210,-3.7050600000000027,0.11501435211659466,0.382,0.02172905888436036,0.44,0.022199099080818574,0.298,0.020454632727086544,0.35450000000000004,0.22643006517099004,0.5389480371837201
215,-3.3709000000000024,0.1158019670817384,0.45,0.022248595461286987,0.53,0.022320394261750844,0.304,0.020571047615520213,0.397,0.22159746434351024,0.5418737487942649
220,-3.5761800000000026,0.11771922874025306,0.388,0.021792475765731623,0.464,0.022302645582979615,0.298,0.020454632727086544,0.362,0.22720854328008586,0.5390790698812375
225,-3.666660000000003,0.11594804219476938,0.382,0.02172905888436036,0.452,0.022257403262734853,0.298,0.020454632727086544,0.35750000000000004,0.22264916627816403,0.5423664615407806
230,-3.538660000000003,0.11453713812034953,0.426,0.02211442967837968,0.524,0.02233490541730589,0.3,0.020493901531919195,0.38749999999999996,0.22177113105783394,0.5428060347227467
235,-3.463300000000002,0.11599810438106316,0.432,0.022152923057691506,0.53,0.022320394261750844,0.298,0.020454632727086544,0.38949999999999996,0.22115561708779308,0.5430796207486629
240,-3.5137400000000025,0.1171014620950568,0.41,0.02199545407578575,0.492,0.022357817424784557,0.298,0.020454632727086544,0.37449999999999994,0.22362433321425582,0.5461146821011953
245,-3.2574800000000024,0.11559616645546696,0.464,0.022302645582979615,0.584,0.02204286732709699,0.3,0.020493901531919195,0.41200000000000003,0.2216513237362867,0.5466501765110644
250,-3.508400000000002,0.11671166385584614,0.416,0.02204286732709699,0.506,0.02235906974809104,0.3,0.020493901531919195,0.38049999999999995,0.22186576036174355,0.5527046092193452
255,-3.5661800000000023,0.11489096402763807,0.416,0.02204286732709699,0.498,0.02236050088884415,0.3,0.020493901531919195,0.37849999999999995,0.22040193200989613,0.552881750080694
260,-3.320680000000002,0.1160666975286194,0.456,0.022273930950777416,0.568,0.022152923057691506,0.294,0.02037469018169356,0.403,0.22331153292597905,0.5541695269883099
265,-3.5969000000000024,0.11359908969705709,0.422,0.022086919205719934,0.506,0.02235906974809104,0.3,0.020493901531919195,0.382,0.2245301258518175,0.5531447048679061
270,-3.2396200000000017,0.1157573155839406,0.468,0.022314838112789438,0.584,0.02204286732709699,0.298,0.020454632727086544,0.41200000000000003,0.22333678794090447,0.5531900646517018
275,-3.3611200000000023,0.11586830408355869,0.45,0.022248595461286987,0.564,0.02217674457624473,0.296,0.02041489652190282,0.40149999999999997,0.22450798921750037,0.5532483493266084
280,-3.420140000000002,0.1153857511168516,0.446,0.022229889788300795,0.526,0.022330427671677047,0.308,0.020646355610615643,0.397,0.22569928670028783,0.5523924088149709
285,-3.2419800000000016,0.11584573086307508,0.466,0.022308921982023246,0.584,0.02204286732709699,0.298,0.020454632727086544,0.4115,0.22454614122084973,0.5515554741855465
290,-3.221800000000002,0.11604439805522723,0.468,0.022314838112789438,0.584,0.02204286732709699,0.298,0.020454632727086544,0.41200000000000003,0.22462802753091088,0.5511170375774794
295,-3.484880000000002,0.11829588146338833,0.41,0.02199545407578575,0.458,0.022281651644346298,0.318,0.020826713614970557,0.376,0.2242930905987711,0.5506854983837768
300,-3.3889000000000022,0.1156784421575603,0.444,0.022219990999098087,0.562,0.022188104921331157,0.298,0.020454632727086544,0.40049999999999997,0.22683992017774074,0.5513233110967315
