clip_eps,gae_lambda,entropy_coef,prefix,best,best_overall,mean,std,final,csv_path,best_checkpoint_epoch,status,log_path
0.55,0.95,0.0,cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_0,0.4305,0.494,0.39232786885245907,0.028761213066370837,0.354,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_0.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_0.log
0.55,0.95,0.003,cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_003,0.43000000000000005,0.486,0.3699672131147541,0.04407520739717313,0.2635,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_003.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_003.log
0.55,0.95,0.01,cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_01,0.409,0.456,0.2893032786885246,0.04616927898943595,0.239,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_01.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_95_ent_0_01.log
0.6,0.85,0.0,cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_0,0.454,0.492,0.31057377049180324,0.04749016003917493,0.35050000000000003,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_0.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_0.log
0.6,0.85,0.003,cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_003,0.454,0.492,0.31728688524590165,0.04706223353323355,0.254,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_003.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_003.log
0.6,0.9,0.0,cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_0,0.519,0.548,0.3272213114754099,0.06316357894323305,0.2965,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_0.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_0.log
0.6,0.85,0.01,cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_01,0.453,0.492,0.31759016393442624,0.05219311163016959,0.273,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_01.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_85_ent_0_01.log
0.6,0.9,0.003,cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_003,0.457,0.496,0.3395409836065574,0.033934900309510165,0.3345,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_003.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_003.log
0.6,0.9,0.01,cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_01,0.4305,0.496,0.3795901639344262,0.05061509229771305,0.37549999999999994,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_01.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_9_ent_0_01.log
0.6,0.95,0.0,cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_0,0.456,0.5,0.2890409836065574,0.09114207293569965,0.122,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_0.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_0.log
0.6,0.95,0.003,cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_003,0.429,0.478,0.30515573770491805,0.06550575935134804,0.2475,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_003.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_003.log
0.6,0.95,0.01,cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_01,0.429,0.462,0.3112377049180329,0.04616290055854531,0.23400000000000004,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_01.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_6_gae_0_95_ent_0_01.log
