epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-3.8724800000000017,0.10908372059661342,0.4,0.021908902300206645,0.444,0.022219990999098087,0.328,0.02099599961897504,0.375,0.13300302906306716,0.531056896358022
10,-3.303880000000002,0.11737328610548495,0.472,0.022325590697672478,0.548,0.02225740326273485,0.326,0.020963015050321363,0.41800000000000004,0.22302868446808913,0.5375027430699011
15,-3.161520000000002,0.127478626362226,0.428,0.022127629787213995,0.58,0.02207260745811423,0.18,0.017181385275931625,0.34199999999999997,0.22788858073861992,0.5230741377903207
20,-2.972600000000002,0.12376346504522252,0.492,0.022357817424784557,0.576,0.022100859711784968,0.372,0.021615549958305478,0.453,0.22439638206891568,0.5160491464803953
25,-3.272040000000003,0.1286844935367118,0.402,0.021926969694875762,0.58,0.02207260745811423,0.058,0.010453324829928513,0.2745,0.23456787747079788,0.511138691266785
30,-3.2674200000000027,0.1287511548965679,0.402,0.021926969694875762,0.578,0.02208691920571993,0.054,0.010107818755794942,0.272,0.24722152497812694,0.5037508176008453
35,-3.2908800000000027,0.12903725683383085,0.396,0.02187162545399861,0.582,0.02205792374635473,0.054,0.010107818755794942,0.2715,0.25110467587771285,0.5031572682478732
40,-3.2558400000000027,0.12850484422308767,0.408,0.021978898971513564,0.582,0.02205792374635473,0.07,0.011410521460476731,0.2825,0.24433687109736432,0.49802199055719343
45,-3.079620000000002,0.12573346774506788,0.462,0.022296008611408458,0.584,0.02204286732709699,0.22,0.018525657883055057,0.3715,0.24402938359330512,0.49748327978752427
50,-3.273760000000003,0.12903208796574606,0.398,0.02189045454073533,0.588,0.02201163328787757,0.028,0.007377804551490911,0.2605,0.24804050350784873,0.4991277970426133
55,-3.094260000000002,0.12609227456430477,0.456,0.022273930950777416,0.58,0.02207260745811423,0.184,0.017328819925199752,0.351,0.24693459567353176,0.4979182411889706
60,-3.273760000000003,0.12903208796574606,0.398,0.02189045454073533,0.58,0.02207260745811423,0.038,0.00855055553750749,0.2635,0.2512331068668512,0.4979009490643916
65,-3.273480000000003,0.12902481226182824,0.4,0.021908902300206645,0.58,0.02207260745811423,0.04,0.008763560920082658,0.265,0.25607055851391386,0.49664748423302657
70,-3.060600000000002,0.12659304593855078,0.46,0.022289010745208053,0.58,0.02207260745811423,0.186,0.017401379255679705,0.353,0.25717169252593575,0.4953671523121059
75,-3.055560000000002,0.12661279782391677,0.46,0.022289010745208053,0.582,0.02205792374635473,0.186,0.017401379255679705,0.35350000000000004,0.2633364953477745,0.4924183614279963
80,-3.397780000000002,0.11969459529652969,0.432,0.022152923057691506,0.562,0.022188104921331157,0.166,0.016639951923007473,0.3315,0.26630053313629204,0.4910816899062272
85,-3.4171800000000023,0.12100161195289931,0.44,0.022199099080818574,0.562,0.022188104921331157,0.18,0.017181385275931625,0.3405,0.2619738795488481,0.5026406963462634
90,-3.411520000000002,0.12083154960191492,0.442,0.022209727598509622,0.568,0.022152923057691506,0.176,0.01703079563614102,0.3405,0.27185586625608704,0.4939915478840461
95,-3.5293000000000023,0.11812738979593183,0.436,0.02217674457624473,0.554,0.022229889788300795,0.21,0.01821537811850196,0.3525,0.27111742658389065,0.489469265399416
100,-3.373120000000003,0.12098313821024824,0.448,0.02223942445298439,0.57,0.022140460699813815,0.214,0.01834142851579451,0.3615,0.2755664668924758,0.485893306596244
