epoch,mean_return,mean_return_stderr,success_rate,success_rate_stderr,clip_frac,entropy
0,-1.497960000000001,0.033091903493150714,0.348,0.02130239423163509,0.0,0.4188689887523651
5,-1.4987000000000013,0.03305089741595529,0.348,0.02130239423163509,0.09407105599625229,0.3909523267899004
10,-0.9182800000000011,0.03842805854060286,0.654,0.021273645667821018,0.11612784501868784,0.3831258302985501
15,-0.8040800000000009,0.03586473905105125,0.688,0.020719845559269985,0.1353623913273593,0.3835532101128595
20,-1.4670000000000012,0.033670372733309625,0.37,0.021591665058535898,0.14735258550353453,0.3836617958735757
25,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.15057662619203208,0.3847124758599142
30,-0.783920000000001,0.03532810307955977,0.702,0.020454632727086548,0.16165914234818735,0.3851869839166679
35,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.16586019163943663,0.38690102073567284
40,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.16995838845570557,0.387064749869965
45,-0.07048000000000058,0.02583525380560447,0.9,0.013416407864998736,0.17311690735553778,0.38851648654395793
50,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.17271861078511566,0.39039637758803974
55,-0.05340000000000057,0.02419342224655289,0.912,0.012669333052690657,0.17474971113396004,0.3896524116141038
60,-0.783920000000001,0.03532810307955977,0.702,0.020454632727086548,0.1756344164248772,0.3899956612146398
65,-0.7907200000000011,0.03547521618256892,0.698,0.02053270561811083,0.17814397050383046,0.3914319336146287
70,-0.7907200000000011,0.03547521618256892,0.698,0.02053270561811083,0.17613555048687576,0.3907034234954798
75,-0.792920000000001,0.03555675670248906,0.696,0.020571047615520217,0.17691873787054738,0.39170120043629814
80,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.17739401260605622,0.39387313796181417
85,-0.09976000000000058,0.028196834659230816,0.882,0.014427473791346842,0.17836527803567034,0.395374370627684
90,-0.783920000000001,0.03532810307955977,0.702,0.020454632727086548,0.17719598521439636,0.3954060413461188
95,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.17766009598288104,0.39599002566331737
100,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.17897407055656536,0.39758484070406325
105,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.17780024917432255,0.3996183945571216
110,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.17857609638062444,0.39854378212404756
115,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.18053593175852775,0.3982606514593859
120,-0.806280000000001,0.03594376056007497,0.686,0.020755914819636352,0.18036955186239736,0.40088765175734403
125,-0.783920000000001,0.03532810307955977,0.702,0.020454632727086548,0.18293686017991087,0.4006840531468294
130,-0.06640000000000057,0.025545717449310366,0.902,0.013296315279053816,0.18075952607032617,0.40255580972864896
135,-0.7907200000000011,0.03547521618256892,0.698,0.02053270561811083,0.1884532036322214,0.4144352614538453
140,-0.05340000000000057,0.02419342224655289,0.912,0.012669333052690657,0.19014858262566203,0.41346899122121583
