epoch,mean_return,mean_return_stderr,success_rate,success_rate_stderr,clip_frac,entropy
0,-1.497960000000001,0.033091903493150714,0.348,0.02130239423163509,0.0,0.4188689887523651
5,-1.8046800000000012,0.023734097733008518,0.152,0.016055902341506688,0.033873877935081065,0.408107001934496
10,-0.882700000000001,0.03794348718818554,0.676,0.020929596269398033,0.04075153599373649,0.4049842642134365
15,-1.8013200000000011,0.024006659809311253,0.156,0.01622738426241272,0.044285363739300046,0.4067118682411978
20,-0.8966200000000012,0.03811254847422304,0.67,0.02102855201862458,0.04513206354701071,0.40677431032049394
25,-0.827180000000001,0.03614757108299257,0.676,0.020929596269398033,0.04747551514211972,0.40768518078941257
30,-1.4840400000000014,0.03327492985417099,0.358,0.021439962686534694,0.05286826016967743,0.41092876460059
35,-0.829380000000001,0.03622316981159988,0.674,0.020963015050321363,0.055171097105617226,0.41219390466967665
40,-0.8834400000000012,0.037752832116279715,0.678,0.020895741192884256,0.05753016626296332,0.41446357585325266
45,-0.9010600000000011,0.03794616914525102,0.668,0.02106067425321421,0.058561195292717985,0.417086174594313
50,-0.8834400000000012,0.037752832116279715,0.678,0.020895741192884256,0.062382159756156914,0.4203176236698497
55,-0.04478000000000057,0.02356282460147764,0.916,0.012405160216619531,0.06264567894226006,0.4185691456739179
60,-0.845500000000001,0.037408660761914486,0.698,0.02053270561811083,0.0629408006371286,0.4187606868325738
65,-0.778340000000001,0.035172916978834734,0.706,0.020374690181693564,0.06447902931020773,0.41772226389811257
70,-0.800700000000001,0.03579821531864403,0.69,0.02068332661831747,0.06449212766848718,0.418015524342912
75,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.06291239211855126,0.41953566884858046
80,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.0641490811267327,0.4186414751427542
85,-0.07406000000000057,0.02618812388851099,0.898,0.013534843922262271,0.06461445149567316,0.42111019628123975
90,-0.778340000000001,0.035172916978834734,0.706,0.020374690181693564,0.06334388819587884,0.4212158764739165
95,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.06658419124166788,0.4222438918671838
100,-0.778340000000001,0.035172916978834734,0.706,0.020374690181693564,0.06694064354668702,0.42538521266431956
105,-0.7600800000000011,0.03492321845420322,0.714,0.020209106858047932,0.06727088413651323,0.42892311414732665
110,-0.800700000000001,0.03579821531864403,0.69,0.02068332661831747,0.06711216681832577,0.4318126639258345
115,-0.787340000000001,0.035405409880412346,0.7,0.020493901531919198,0.07597260300194934,0.44109636369730154
120,-0.06186000000000058,0.025257360923105168,0.904,0.013174520864152895,0.07806468157071807,0.44165600132035704
125,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.07772003803234653,0.44007967788960634
130,-0.014660000000000558,0.021605373609359317,0.926,0.011706750189527404,0.07917907674441256,0.4413422375600648
135,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.07865174596280908,0.44290121991373144
140,-0.05340000000000057,0.02419342224655289,0.912,0.012669333052690657,0.08107692171999985,0.4448489746229627
145,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.11435481308306814,0.456335974380508
150,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.11833263545594835,0.4560280325757804
155,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.1182600808933755,0.4550215479958184
160,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.11933266178675099,0.45503557675068046
165,-0.765660000000001,0.03508531785234388,0.71,0.020292855885754475,0.11885869163693898,0.45534781808260516
170,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.11857726811168628,0.45547810564836516
175,-0.783920000000001,0.03532810307955977,0.702,0.020454632727086548,0.11810615455894712,0.457061621210464
180,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.11827638823590801,0.4562394850486044
