epoch,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate
0,0.4,0.021908902300206645,0.462,0.022296008611408458,0.194,0.01768411716767337,0.3125
5,0.302,0.020532705618110828,0.348,0.02130239423163509,0.136,0.01532997064576446,0.23049999999999998
10,0.474,0.022330427671677047,0.542,0.022281651644346295,0.276,0.01999119806314769,0.392
15,0.444,0.022219990999098087,0.604,0.02187162545399861,0.16,0.016395121225535356,0.342
20,0.494,0.02235906974809104,0.606,0.021852414054287,0.278,0.020035768016225385,0.41400000000000003
25,0.44,0.022199099080818574,0.604,0.02187162545399861,0.162,0.016477621187537962,0.342
30,0.496,0.022359964221796064,0.604,0.02187162545399861,0.278,0.020035768016225385,0.41400000000000003
35,0.45,0.022248595461286987,0.604,0.02187162545399861,0.132,0.01513776733867977,0.3295
40,0.45,0.022248595461286987,0.604,0.02187162545399861,0.134,0.015234434679370286,0.3305
45,0.448,0.02223942445298439,0.606,0.021852414054287,0.134,0.015234434679370286,0.3305
50,0.45,0.022248595461286987,0.604,0.02187162545399861,0.134,0.015234434679370286,0.3305
55,0.448,0.02223942445298439,0.604,0.02187162545399861,0.138,0.01542439626046997,0.332
60,0.474,0.022330427671677047,0.598,0.021926969694875762,0.21,0.01821537811850196,0.373
65,0.474,0.022330427671677047,0.598,0.021926969694875762,0.21,0.01821537811850196,0.373
70,0.476,0.02233490541730589,0.596,0.021944657664224338,0.21,0.01821537811850196,0.373
75,0.498,0.02236050088884415,0.634,0.021542701780417423,0.212,0.018278730809331376,0.389
80,0.498,0.02236050088884415,0.636,0.02151762068631195,0.212,0.018278730809331376,0.38949999999999996
85,0.514,0.022351912669836556,0.636,0.02151762068631195,0.26,0.019616319736382767,0.4175
90,0.47,0.022320394261750844,0.632,0.021567382780485908,0.14,0.01551773179301666,0.3455
95,0.47,0.022320394261750844,0.634,0.021542701780417423,0.14,0.01551773179301666,0.34600000000000003
100,0.504,0.022359964221796064,0.634,0.021542701780417423,0.218,0.018464885594013304,0.39349999999999996
105,0.516,0.022349228174592516,0.634,0.021542701780417423,0.25,0.019364916731037084,0.4125
110,0.504,0.022359964221796064,0.636,0.02151762068631195,0.216,0.01840347793217358,0.393
115,0.518,0.022346185356789647,0.616,0.02175058619899703,0.286,0.020209106858047932,0.4265
120,0.522,0.0223390241505756,0.616,0.02175058619899703,0.322,0.020895741192884256,0.4455
125,0.52,0.022342784070030305,0.616,0.02175058619899703,0.322,0.020895741192884256,0.44500000000000006
130,0.52,0.022342784070030305,0.616,0.02175058619899703,0.324,0.020929596269398033,0.44600000000000006
135,0.52,0.022342784070030305,0.616,0.02175058619899703,0.324,0.020929596269398033,0.44600000000000006
