epoch,mean_return,mean_return_stderr,success_rate,success_rate_stderr,clip_frac,entropy
0,-1.497960000000001,0.033091903493150714,0.348,0.02130239423163509,0.0,0.4188689887523651
5,-0.07406000000000057,0.02618812388851099,0.898,0.013534843922262271,0.13425469930030143,0.35102803805326693
10,-0.07938000000000059,0.026466636189738962,0.896,0.013651666564928987,0.1648052530248976,0.3443099646505428
15,-0.07114000000000058,0.02591972609423179,0.9,0.013416407864998736,0.19289635915312237,0.34084172901725635
20,-0.07008000000000059,0.025903003439755788,0.9,0.013416407864998736,0.20285446903168033,0.3510362015137006
25,-0.037080000000000564,0.022904544247812485,0.92,0.012132600710482479,0.210465822804442,0.35149210332630115
30,-0.04478000000000057,0.02356282460147764,0.916,0.012405160216619531,0.2171180213200734,0.3553668077447233
35,-0.04290000000000058,0.02325112427389265,0.918,0.012269963325128561,0.21923249919128926,0.3596710144425647
40,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.22362975942203966,0.35841098930976084
45,-0.01178000000000059,0.02230109556053245,0.934,0.01110351295761841,0.23527908710517653,0.37531145381225683
50,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.2458775168648774,0.38462995960760193
55,0.005299999999999418,0.0202778159573461,0.946,0.010107818755794947,0.24809816672496393,0.3801956197470792
60,0.005299999999999418,0.0202778159573461,0.946,0.010107818755794947,0.24699304611989445,0.3793355014452365
65,-0.04602000000000058,0.023564497007150395,0.916,0.012405160216619531,0.24710169815300725,0.3781464946009249
70,-0.08268000000000059,0.02673804845533795,0.894,0.013766916866168691,0.24752482669831588,0.37941351618224833
75,0.005299999999999418,0.0202778159573461,0.946,0.010107818755794947,0.24700178262318437,0.3884140127387967
80,-0.04290000000000058,0.02325112427389265,0.918,0.012269963325128561,0.2565558527429525,0.39053027443922844
85,0.005299999999999418,0.0202778159573461,0.946,0.010107818755794947,0.25587630314860593,0.38988623145483403
90,-0.04186000000000057,0.023256807192733917,0.918,0.012269963325128561,0.2633774078931608,0.39463726469511295
