clip_eps,prefix,best,best_overall,mean,std,final,csv_path,best_checkpoint_epoch,status
0.175,h3_boundaries_clip_0_175,0.36850000000000005,0.404,0.3382622950819672,0.012388706738187365,0.36550000000000005,results\phase2\analysis\h3_boundaries\h3_boundaries_clip_0_175.csv,,ran
0.275,h3_boundaries_clip_0_275,0.386,0.414,0.34305737704918027,0.023110801652159636,0.386,results\phase2\analysis\h3_boundaries\h3_boundaries_clip_0_275.csv,,ran
