state,covered,near_death,true_value_pi_beta,n_actions_visited,total_samples,min_samples_per_visited_action,mean_samples_per_visited_action,max_samples_per_visited_action
390,False,True,-0.9999365450426412,0,0,0,0.0,0
391,False,True,-0.9999352340382173,0,0,0,0.0,0
392,False,True,-0.9999335797139066,0,0,0,0.0,0
393,False,True,-0.9999390301127159,0,0,0,0.0,0
394,False,True,-0.999923772715144,0,0,0,0.0,0
395,False,True,-0.9992657253952804,0,0,0,0.0,0
396,False,True,-0.9992733109848989,0,0,0,0.0,0
397,False,True,-0.9982801385415246,0,0,0,0.0,0
398,False,True,-0.9982192016691288,0,0,0,0.0,0
399,False,True,-0.9994835373969034,0,0,0,0.0,0
400,False,True,-0.9994779558552792,0,0,0,0.0,0
401,False,True,-0.9994710607777164,0,0,0,0.0,0
402,False,True,-0.9994636700057581,0,0,0,0.0,0
403,True,True,-0.9864029530319505,2,8,3,4.0,5
404,True,True,-0.9778587868170233,1,5,5,5.0,5
405,True,True,-0.9765810875368707,1,5,5,5.0,5
406,True,True,-0.9722022281389215,2,4,1,2.0,3
407,True,True,-0.9736118652468974,1,3,3,3.0,3
408,True,True,-0.973485666680588,1,3,3,3.0,3
409,True,True,-0.9731430973194167,1,10,10,10.0,10
410,True,True,-0.9727512636016425,2,23,4,11.5,19
411,True,True,-0.9767398344677564,2,155,9,77.5,146
412,True,True,-0.9818429659265034,3,3313,1,1104.3333333333333,3310
413,True,False,-0.03563520917046067,1,23,23,23.0,23
414,True,False,-0.025136681328013347,2,32,6,16.0,26
415,True,False,-0.011427278433522935,2,150,9,75.0,141
416,True,False,0.1000083502903431,2,925,216,462.5,709
417,True,False,0.12792235020747736,4,1216,1,304.0,1157
418,True,False,0.16719171030059055,2,3230,674,1615.0,2556
419,True,False,0.1424785067481656,4,3939,1,984.75,3243
420,False,True,-0.9999323979596724,0,0,0,0.0,0
421,False,True,-0.9999350256353122,0,0,0,0.0,0
422,False,True,-0.9998982157142252,0,0,0,0.0,0
423,False,True,-0.9988453112504833,0,0,0,0.0,0
424,False,True,-0.9993037478864756,0,0,0,0.0,0
425,False,True,-0.9992784729281078,0,0,0,0.0,0
426,False,True,-0.9992585893659055,0,0,0,0.0,0
427,False,True,-0.9983004326696038,0,0,0,0.0,0
428,False,True,-0.998284089303458,0,0,0,0.0,0
429,False,True,-0.9999787218340714,0,0,0,0.0,0
