epoch,entropy_heldout,kl_heldout,entropy_covered,kl_covered,weight_norm
0,0.411798357963562,0.0,0.34359365701675415,0.0,20.183918987026455
5,0.33280038833618164,0.011266104876995087,0.31376615166664124,0.0035988646559417248,21.565902692107475
10,0.3120107352733612,0.024770697578787804,0.2723679542541504,0.018970977514982224,22.48297463018708
15,0.30228543281555176,0.05205351859331131,0.2654187083244324,0.02908497117459774,23.312715847975085
20,0.28321701288223267,0.0868305042386055,0.30893200635910034,0.03048497438430786,24.08418399533047
25,0.27474963665008545,0.0870196670293808,0.32817262411117554,0.05453867465257645,24.792457942582118
30,0.28760483860969543,0.09183819591999054,0.33127206563949585,0.054563023149967194,25.396250646510314
35,0.2787935733795166,0.07738784700632095,0.3103748559951782,0.05740765482187271,25.948951371406142
40,0.27453702688217163,0.07668968290090561,0.31347161531448364,0.05459979921579361,26.51545183249966
45,0.2735472023487091,0.08474920690059662,0.3256242275238037,0.05041050910949707,27.114154609303363
50,0.27145352959632874,0.07863761484622955,0.31229889392852783,0.05148318409919739,27.717221920916742
55,0.2631324529647827,0.08486085385084152,0.3150862753391266,0.048299141228199005,28.315528379079872
60,0.2711036205291748,0.08090817183256149,0.31039488315582275,0.048419754952192307,28.878295846270134
65,0.33427077531814575,0.05152790620923042,0.3255188465118408,0.04761218652129173,29.419201136665016
70,0.3475285768508911,0.047018419951200485,0.3360799551010132,0.04165544733405113,29.912256428118265
75,0.35105669498443604,0.03954477235674858,0.32597267627716064,0.043710291385650635,30.369551645827784
80,0.3366793990135193,0.04178689420223236,0.2952248454093933,0.049794405698776245,30.789323991114152
85,0.3392637372016907,0.04245973005890846,0.3108588755130768,0.05234807729721069,31.18585353999217
90,0.3584783673286438,0.030506599694490433,0.3175710439682007,0.05073544755578041,31.558829162995814
95,0.37917181849479675,0.02093893475830555,0.3042151629924774,0.0553838312625885,31.935587148788176
100,0.3789574205875397,0.0211594607681036,0.30161935091018677,0.05728774517774582,32.30709946647012
105,0.38105708360671997,0.026984797790646553,0.2941475808620453,0.05007453262805939,32.6717453257585
110,0.37341946363449097,0.019544079899787903,0.2947787642478943,0.0554175078868866,33.03021334457082
115,0.379425585269928,0.022997813299298286,0.2938467264175415,0.05367401987314224,33.38355925649789
120,0.3732166290283203,0.02574334666132927,0.2895979881286621,0.05815603584051132,33.73729949534219
125,0.37146520614624023,0.030935926362872124,0.28900468349456787,0.06120532751083374,34.086212364414926
130,0.3938952386379242,0.02344520390033722,0.2935498058795929,0.05622423440217972,34.42772484597362
135,0.3876197040081024,0.030063115060329437,0.3026330769062042,0.05399644002318382,34.765107144284556
140,0.37396445870399475,0.023806771263480186,0.29515910148620605,0.06243900954723358,35.11149839799484
145,0.3842073380947113,0.024273261427879333,0.2924964427947998,0.054360028356313705,35.458001419640304
150,0.38549742102622986,0.02314380556344986,0.2940292954444885,0.06177293509244919,35.805758366633256
155,0.39171311259269714,0.0208558589220047,0.28855976462364197,0.062431320548057556,36.14798915277503
160,0.39209768176078796,0.019415434449911118,0.2867591977119446,0.05795116722583771,36.47600810985158
165,0.3947726786136627,0.023189853876829147,0.2880978584289551,0.06206854432821274,36.80573916855211
170,0.3887040615081787,0.018184898421168327,0.28516703844070435,0.06415357440710068,37.1403174329817
175,0.3984638452529907,0.019028190523386,0.2869442105293274,0.06326203048229218,37.461209600555996
180,0.4163786768913269,0.019974010065197945,0.30077219009399414,0.057295799255371094,37.78156326637611
185,0.41046735644340515,0.015707289800047874,0.27982228994369507,0.06954514235258102,38.08815670358861
190,0.4109928011894226,0.016932280734181404,0.2869147062301636,0.06282564252614975,38.39868601408421
195,0.41406434774398804,0.01784725859761238,0.29144060611724854,0.06179383024573326,38.70058253562147
200,0.413920134305954,0.020628606900572777,0.2936519384384155,0.059459902346134186,39.003110664662806
205,0.4092470109462738,0.024189047515392303,0.2861582934856415,0.06720636785030365,39.298016533704505
210,0.42592567205429077,0.03447949141263962,0.3027191162109375,0.0611717663705349,39.60649258035735
215,0.4104679822921753,0.039658885449171066,0.28801995515823364,0.06570975482463837,39.924301741547474
220,0.42094647884368896,0.03890608251094818,0.2979857623577118,0.060707807540893555,40.23313983426058
225,0.4101174771785736,0.03302817419171333,0.29387590289115906,0.060065705329179764,40.53320550824934
230,0.41825783252716064,0.05513343587517738,0.2913244962692261,0.05751286447048187,40.82569870818603
235,0.41266897320747375,0.06259948015213013,0.3067386746406555,0.05311945825815201,41.11856218739612
240,0.4084455966949463,0.06360995024442673,0.29756736755371094,0.055799104273319244,41.412215271987016
245,0.4179757535457611,0.06157568097114563,0.2931240200996399,0.0588613897562027,41.70652910589946
250,0.42837175726890564,0.04854295402765274,0.3007606863975525,0.0563332736492157,41.99252621645325
255,0.42205360531806946,0.05124330520629883,0.2993726134300232,0.06028728559613228,42.284991279825704
260,0.42133063077926636,0.05539175868034363,0.3000624179840088,0.054641708731651306,42.570736573887054
265,0.40290147066116333,0.06045658886432648,0.29286807775497437,0.06075926870107651,42.86061149418736
270,0.4231128990650177,0.053962163627147675,0.2957029938697815,0.05946248024702072,43.1409119514504
275,0.41688889265060425,0.04942040890455246,0.29149988293647766,0.0609685555100441,43.41837235577434
280,0.4100293517112732,0.05408323556184769,0.28674036264419556,0.06098848953843117,43.698153988862224
