epoch,overall,covered,held_out,weighted_success_rate,weights
155,"{'mean_return': -3.1102000000000016, 'std_return': 2.5743694295885375, 'stderr_return': 0.11512930087514656, 'mean_discounted_return': -3.1102000000000016, 'success_rate': 0.508, 'success_rate_stderr': 0.022357817424784557, 'mean_length': 117.946, 'n_episodes': 500}","{'mean_return': -2.262640000000001, 'std_return': 2.4987899132179976, 'stderr_return': 0.11174928214892485, 'mean_discounted_return': -2.262640000000001, 'success_rate': 0.596, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 91.422, 'n_episodes': 500}","{'mean_return': -4.829180000000002, 'std_return': 1.8535424267062277, 'stderr_return': 0.08289293730590093, 'mean_discounted_return': -4.829180000000002, 'success_rate': 0.334, 'success_rate_stderr': 0.02109236828807993, 'mean_length': 172.246, 'n_episodes': 500}",0.44300000000000006,"(0.25, 0.25, 0.5)"
160,"{'mean_return': -3.0957600000000016, 'std_return': 2.5708140388600675, 'stderr_return': 0.11497029896803794, 'mean_discounted_return': -3.0957600000000016, 'success_rate': 0.512, 'success_rate_stderr': 0.022354238971613417, 'mean_length': 117.602, 'n_episodes': 500}","{'mean_return': -2.262640000000001, 'std_return': 2.4987899132179976, 'stderr_return': 0.11174928214892485, 'mean_discounted_return': -2.262640000000001, 'success_rate': 0.596, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 91.422, 'n_episodes': 500}","{'mean_return': -4.894460000000003, 'std_return': 1.8425088082286094, 'stderr_return': 0.08239949888682589, 'mean_discounted_return': -4.894460000000003, 'success_rate': 0.31, 'success_rate_stderr': 0.02068332661831747, 'mean_length': 173.598, 'n_episodes': 500}",0.43200000000000005,"(0.25, 0.25, 0.5)"
165,"{'mean_return': -3.0831600000000017, 'std_return': 2.5596561515953686, 'stderr_return': 0.11447130307985502, 'mean_discounted_return': -3.0831600000000017, 'success_rate': 0.518, 'success_rate_stderr': 0.022346185356789647, 'mean_length': 117.388, 'n_episodes': 500}","{'mean_return': -2.2814400000000004, 'std_return': 2.501613224781163, 'stderr_return': 0.11187554448046283, 'mean_discounted_return': -2.2814400000000004, 'success_rate': 0.594, 'success_rate_stderr': 0.021961967125009547, 'mean_length': 91.98, 'n_episodes': 500}","{'mean_return': -4.817060000000003, 'std_return': 1.8700285442741271, 'stderr_return': 0.08363021889723847, 'mean_discounted_return': -4.817060000000003, 'success_rate': 0.334, 'success_rate_stderr': 0.02109236828807993, 'mean_length': 171.842, 'n_episodes': 500}",0.44500000000000006,"(0.25, 0.25, 0.5)"
170,"{'mean_return': -3.2453600000000016, 'std_return': 2.648330808339474, 'stderr_return': 0.11843695428708062, 'mean_discounted_return': -3.2453600000000016, 'success_rate': 0.478, 'success_rate_stderr': 0.0223390241505756, 'mean_length': 121.486, 'n_episodes': 500}","{'mean_return': -2.840700000000002, 'std_return': 2.5574044087707386, 'stderr_return': 0.11437060207938061, 'mean_discounted_return': -2.840700000000002, 'success_rate': 0.528, 'success_rate_stderr': 0.022325590697672478, 'mean_length': 108.356, 'n_episodes': 500}","{'mean_return': -4.336960000000003, 'std_return': 2.488356879227739, 'stderr_return': 0.11128270268464917, 'mean_discounted_return': -4.336960000000003, 'success_rate': 0.34, 'success_rate_stderr': 0.021184900282984576, 'mean_length': 155.98, 'n_episodes': 500}",0.4215,"(0.25, 0.25, 0.5)"
175,"{'mean_return': -3.3240000000000016, 'std_return': 2.632159113731541, 'stderr_return': 0.11771373411798652, 'mean_discounted_return': -3.3240000000000016, 'success_rate': 0.47, 'success_rate_stderr': 0.022320394261750844, 'mean_length': 123.768, 'n_episodes': 500}","{'mean_return': -2.9466400000000013, 'std_return': 2.540808593814184, 'stderr_return': 0.11362841467168333, 'mean_discounted_return': -2.9466400000000013, 'success_rate': 0.518, 'success_rate_stderr': 0.022346185356789647, 'mean_length': 111.544, 'n_episodes': 500}","{'mean_return': -4.3461200000000035, 'std_return': 2.491330998803654, 'stderr_return': 0.11141570935554834, 'mean_discounted_return': -4.3461200000000035, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 156.148, 'n_episodes': 500}",0.41500000000000004,"(0.25, 0.25, 0.5)"
180,"{'mean_return': -3.381420000000002, 'std_return': 2.630442735282411, 'stderr_return': 0.1176369753402391, 'mean_discounted_return': -3.381420000000002, 'success_rate': 0.45, 'success_rate_stderr': 0.022248595461286987, 'mean_length': 124.672, 'n_episodes': 500}","{'mean_return': -2.9925800000000007, 'std_return': 2.534718671489996, 'stderr_return': 0.11335606506579177, 'mean_discounted_return': -2.9925800000000007, 'success_rate': 0.496, 'success_rate_stderr': 0.022359964221796064, 'mean_length': 111.544, 'n_episodes': 500}","{'mean_return': -4.345820000000003, 'std_return': 2.489033693544547, 'stderr_return': 0.11131297074105974, 'mean_discounted_return': -4.345820000000003, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 155.944, 'n_episodes': 500}",0.40449999999999997,"(0.25, 0.25, 0.5)"
185,"{'mean_return': -3.2550200000000022, 'std_return': 2.6499177722336995, 'stderr_return': 0.11850792546998713, 'mean_discounted_return': -3.2550200000000022, 'success_rate': 0.474, 'success_rate_stderr': 0.022330427671677047, 'mean_length': 121.606, 'n_episodes': 500}","{'mean_return': -2.8771600000000013, 'std_return': 2.5524993113417307, 'stderr_return': 0.11415123945363019, 'mean_discounted_return': -2.8771600000000013, 'success_rate': 0.52, 'success_rate_stderr': 0.022342784070030305, 'mean_length': 109.038, 'n_episodes': 500}","{'mean_return': -4.4049600000000035, 'std_return': 2.4961893755081985, 'stderr_return': 0.1116329825669816, 'mean_discounted_return': -4.4049600000000035, 'success_rate': 0.312, 'success_rate_stderr': 0.02071984555926998, 'mean_length': 157.156, 'n_episodes': 500}",0.40449999999999997,"(0.25, 0.25, 0.5)"
190,"{'mean_return': -3.546760000000002, 'std_return': 2.601478407060111, 'stderr_return': 0.11634165120368554, 'mean_discounted_return': -3.546760000000002, 'success_rate': 0.44, 'success_rate_stderr': 0.022199099080818574, 'mean_length': 130.228, 'n_episodes': 500}","{'mean_return': -3.3098600000000014, 'std_return': 2.5168277216369046, 'stderr_return': 0.11255595746472073, 'mean_discounted_return': -3.3098600000000014, 'success_rate': 0.466, 'success_rate_stderr': 0.022308921982023246, 'mean_length': 121.866, 'n_episodes': 500}","{'mean_return': -4.3461200000000035, 'std_return': 2.491330998803654, 'stderr_return': 0.11141570935554834, 'mean_discounted_return': -4.3461200000000035, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 156.148, 'n_episodes': 500}",0.3945,"(0.25, 0.25, 0.5)"
195,"{'mean_return': -3.3777000000000017, 'std_return': 2.633297953137854, 'stderr_return': 0.11776466456454594, 'mean_discounted_return': -3.3777000000000017, 'success_rate': 0.45, 'success_rate_stderr': 0.022248595461286987, 'mean_length': 124.548, 'n_episodes': 500}","{'mean_return': -3.007620000000001, 'std_return': 2.5474467483344987, 'stderr_return': 0.11392528196673476, 'mean_discounted_return': -3.007620000000001, 'success_rate': 0.492, 'success_rate_stderr': 0.022357817424784557, 'mean_length': 111.908, 'n_episodes': 500}","{'mean_return': -4.348120000000003, 'std_return': 2.4921576325746355, 'stderr_return': 0.11145267754163658, 'mean_discounted_return': -4.348120000000003, 'success_rate': 0.334, 'success_rate_stderr': 0.02109236828807993, 'mean_length': 155.952, 'n_episodes': 500}",0.40249999999999997,"(0.25, 0.25, 0.5)"
200,"{'mean_return': -3.549580000000002, 'std_return': 2.602787740788713, 'stderr_return': 0.11640020638813327, 'mean_discounted_return': -3.549580000000002, 'success_rate': 0.436, 'success_rate_stderr': 0.02217674457624473, 'mean_length': 130.12, 'n_episodes': 500}","{'mean_return': -3.3127800000000014, 'std_return': 2.5147406370439103, 'stderr_return': 0.11246262020422618, 'mean_discounted_return': -3.3127800000000014, 'success_rate': 0.458, 'success_rate_stderr': 0.022281651644346298, 'mean_length': 121.43, 'n_episodes': 500}","{'mean_return': -4.339680000000004, 'std_return': 2.4915523469515968, 'stderr_return': 0.11142560834565822, 'mean_discounted_return': -4.339680000000004, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 155.804, 'n_episodes': 500}",0.3915,"(0.25, 0.25, 0.5)"
205,"{'mean_return': -3.604420000000002, 'std_return': 2.6059074165441896, 'stderr_return': 0.11653972252927336, 'mean_discounted_return': -3.604420000000002, 'success_rate': 0.43, 'success_rate_stderr': 0.022140460699813815, 'mean_length': 131.742, 'n_episodes': 500}","{'mean_return': -3.3383800000000012, 'std_return': 2.5168404748016933, 'stderr_return': 0.11255652780358864, 'mean_discounted_return': -3.3383800000000012, 'success_rate': 0.462, 'success_rate_stderr': 0.022296008611408458, 'mean_length': 122.744, 'n_episodes': 500}","{'mean_return': -4.343820000000004, 'std_return': 2.48820417321409, 'stderr_return': 0.11127587346410732, 'mean_discounted_return': -4.343820000000004, 'success_rate': 0.338, 'success_rate_stderr': 0.02115447943108031, 'mean_length': 156.14, 'n_episodes': 500}",0.392,"(0.25, 0.25, 0.5)"
210,"{'mean_return': -3.601820000000002, 'std_return': 2.601783174593919, 'stderr_return': 0.11635528082214414, 'mean_discounted_return': -3.601820000000002, 'success_rate': 0.418, 'success_rate_stderr': 0.02205792374635473, 'mean_length': 130.92, 'n_episodes': 500}","{'mean_return': -3.3761400000000013, 'std_return': 2.509781524435944, 'stderr_return': 0.11224084194623639, 'mean_discounted_return': -3.3761400000000013, 'success_rate': 0.438, 'success_rate_stderr': 0.02218810492133116, 'mean_length': 122.338, 'n_episodes': 500}","{'mean_return': -4.342900000000003, 'std_return': 2.494210534417656, 'stderr_return': 0.11154448610307915, 'mean_discounted_return': -4.342900000000003, 'success_rate': 0.334, 'success_rate_stderr': 0.02109236828807993, 'mean_length': 155.778, 'n_episodes': 500}",0.381,"(0.25, 0.25, 0.5)"
215,"{'mean_return': -3.246380000000002, 'std_return': 2.6366884335469014, 'stderr_return': 0.11791629145796616, 'mean_discounted_return': -3.246380000000002, 'success_rate': 0.48, 'success_rate_stderr': 0.022342784070030305, 'mean_length': 121.524, 'n_episodes': 500}","{'mean_return': -2.873880000000001, 'std_return': 2.5568440205847542, 'stderr_return': 0.11434554075782763, 'mean_discounted_return': -2.873880000000001, 'success_rate': 0.518, 'success_rate_stderr': 0.022346185356789647, 'mean_length': 108.86, 'n_episodes': 500}","{'mean_return': -4.346540000000004, 'std_return': 2.49139234734315, 'stderr_return': 0.11141845294564101, 'mean_discounted_return': -4.346540000000004, 'success_rate': 0.334, 'success_rate_stderr': 0.02109236828807993, 'mean_length': 155.964, 'n_episodes': 500}",0.4165,"(0.25, 0.25, 0.5)"
220,"{'mean_return': -3.430760000000002, 'std_return': 2.6297834554198585, 'stderr_return': 0.11760749144846182, 'mean_discounted_return': -3.430760000000002, 'success_rate': 0.45, 'success_rate_stderr': 0.022248595461286987, 'mean_length': 126.64, 'n_episodes': 500}","{'mean_return': -3.120840000000001, 'std_return': 2.5266656475283806, 'stderr_return': 0.11299592288573965, 'mean_discounted_return': -3.120840000000001, 'success_rate': 0.488, 'success_rate_stderr': 0.022354238971613417, 'mean_length': 116.062, 'n_episodes': 500}","{'mean_return': -4.4049600000000035, 'std_return': 2.4961893755081985, 'stderr_return': 0.1116329825669816, 'mean_discounted_return': -4.4049600000000035, 'success_rate': 0.312, 'success_rate_stderr': 0.02071984555926998, 'mean_length': 157.156, 'n_episodes': 500}",0.39049999999999996,"(0.25, 0.25, 0.5)"
225,"{'mean_return': -3.465380000000002, 'std_return': 2.628951360447738, 'stderr_return': 0.11757027903003388, 'mean_discounted_return': -3.465380000000002, 'success_rate': 0.436, 'success_rate_stderr': 0.02217674457624473, 'mean_length': 126.99, 'n_episodes': 500}","{'mean_return': -3.1688200000000015, 'std_return': 2.5213986609816406, 'stderr_return': 0.11276037608663789, 'mean_discounted_return': -3.1688200000000015, 'success_rate': 0.476, 'success_rate_stderr': 0.02233490541730589, 'mean_length': 116.732, 'n_episodes': 500}","{'mean_return': -4.406540000000003, 'std_return': 2.496916223744804, 'stderr_return': 0.11166548820830913, 'mean_discounted_return': -4.406540000000003, 'success_rate': 0.312, 'success_rate_stderr': 0.02071984555926998, 'mean_length': 157.144, 'n_episodes': 500}",0.384,"(0.25, 0.25, 0.5)"
230,"{'mean_return': -3.753780000000002, 'std_return': 2.4704343568692555, 'stderr_return': 0.11048118311821259, 'mean_discounted_return': -3.753780000000002, 'success_rate': 0.414, 'success_rate_stderr': 0.0220274374360705, 'mean_length': 135.848, 'n_episodes': 500}","{'mean_return': -3.2041600000000017, 'std_return': 2.534817684647164, 'stderr_return': 0.11336049306879367, 'mean_discounted_return': -3.2041600000000017, 'success_rate': 0.464, 'success_rate_stderr': 0.022302645582979615, 'mean_length': 117.498, 'n_episodes': 500}","{'mean_return': -4.906520000000002, 'std_return': 1.8232982996756213, 'stderr_return': 0.08154037882668944, 'mean_discounted_return': -4.906520000000002, 'success_rate': 0.3, 'success_rate_stderr': 0.020493901531919195, 'mean_length': 173.398, 'n_episodes': 500}",0.3695,"(0.25, 0.25, 0.5)"
235,"{'mean_return': -3.579640000000002, 'std_return': 2.601333479275583, 'stderr_return': 0.11633516983612488, 'mean_discounted_return': -3.579640000000002, 'success_rate': 0.422, 'success_rate_stderr': 0.022086919205719934, 'mean_length': 130.318, 'n_episodes': 500}","{'mean_return': -3.3676000000000013, 'std_return': 2.5085184950484245, 'stderr_return': 0.11218435755487494, 'mean_discounted_return': -3.3676000000000013, 'success_rate': 0.44, 'success_rate_stderr': 0.022199099080818574, 'mean_length': 122.122, 'n_episodes': 500}","{'mean_return': -4.341260000000004, 'std_return': 2.492321931934158, 'stderr_return': 0.11146002523236762, 'mean_discounted_return': -4.341260000000004, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 155.792, 'n_episodes': 500}",0.3835,"(0.25, 0.25, 0.5)"
240,"{'mean_return': -3.555640000000002, 'std_return': 2.6013557600605135, 'stderr_return': 0.11633616626311881, 'mean_discounted_return': -3.555640000000002, 'success_rate': 0.428, 'success_rate_stderr': 0.022127629787213995, 'mean_length': 129.724, 'n_episodes': 500}","{'mean_return': -3.373380000000001, 'std_return': 2.513245307485923, 'stderr_return': 0.11239574703341769, 'mean_discounted_return': -3.373380000000001, 'success_rate': 0.438, 'success_rate_stderr': 0.02218810492133116, 'mean_length': 122.246, 'n_episodes': 500}","{'mean_return': -4.348120000000003, 'std_return': 2.4921576325746355, 'stderr_return': 0.11145267754163658, 'mean_discounted_return': -4.348120000000003, 'success_rate': 0.334, 'success_rate_stderr': 0.02109236828807993, 'mean_length': 155.952, 'n_episodes': 500}",0.3835,"(0.25, 0.25, 0.5)"
245,"{'mean_return': -3.8115600000000023, 'std_return': 2.434591950697285, 'stderr_return': 0.10887826198465891, 'mean_discounted_return': -3.8115600000000023, 'success_rate': 0.408, 'success_rate_stderr': 0.021978898971513564, 'mean_length': 137.568, 'n_episodes': 500}","{'mean_return': -3.3958000000000013, 'std_return': 2.510632262996716, 'stderr_return': 0.11227888813129573, 'mean_discounted_return': -3.3958000000000013, 'success_rate': 0.434, 'success_rate_stderr': 0.02216501748251059, 'mean_length': 122.856, 'n_episodes': 500}","{'mean_return': -4.898580000000003, 'std_return': 1.8450972287660103, 'stderr_return': 0.08251525657234558, 'mean_discounted_return': -4.898580000000003, 'success_rate': 0.302, 'success_rate_stderr': 0.020532705618110828, 'mean_length': 173.202, 'n_episodes': 500}",0.3615,"(0.25, 0.25, 0.5)"
250,"{'mean_return': -3.367300000000002, 'std_return': 2.62962957657538, 'stderr_return': 0.11760060977733075, 'mean_discounted_return': -3.367300000000002, 'success_rate': 0.452, 'success_rate_stderr': 0.022257403262734853, 'mean_length': 124.27, 'n_episodes': 500}","{'mean_return': -3.047220000000001, 'std_return': 2.549508751034209, 'stderr_return': 0.11401749753086156, 'mean_discounted_return': -3.047220000000001, 'success_rate': 0.486, 'success_rate_stderr': 0.022351912669836556, 'mean_length': 113.022, 'n_episodes': 500}","{'mean_return': -4.348120000000003, 'std_return': 2.4921576325746355, 'stderr_return': 0.11145267754163658, 'mean_discounted_return': -4.348120000000003, 'success_rate': 0.334, 'success_rate_stderr': 0.02109236828807993, 'mean_length': 155.952, 'n_episodes': 500}",0.40149999999999997,"(0.25, 0.25, 0.5)"
255,"{'mean_return': -3.551860000000002, 'std_return': 2.601673603740487, 'stderr_return': 0.11635038066461159, 'mean_discounted_return': -3.551860000000002, 'success_rate': 0.428, 'success_rate_stderr': 0.022127629787213995, 'mean_length': 129.598, 'n_episodes': 500}","{'mean_return': -3.352800000000001, 'std_return': 2.5076774433726543, 'stderr_return': 0.11214674458048268, 'mean_discounted_return': -3.352800000000001, 'success_rate': 0.444, 'success_rate_stderr': 0.022219990999098087, 'mean_length': 121.766, 'n_episodes': 500}","{'mean_return': -4.341260000000004, 'std_return': 2.492321931934158, 'stderr_return': 0.11146002523236762, 'mean_discounted_return': -4.341260000000004, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 155.792, 'n_episodes': 500}",0.386,"(0.25, 0.25, 0.5)"
260,"{'mean_return': -3.626820000000002, 'std_return': 2.586918724583363, 'stderr_return': 0.11569052240870911, 'mean_discounted_return': -3.626820000000002, 'success_rate': 0.416, 'success_rate_stderr': 0.02204286732709699, 'mean_length': 131.62, 'n_episodes': 500}","{'mean_return': -3.468860000000001, 'std_return': 2.4962176388287967, 'stderr_return': 0.11163424654110415, 'mean_discounted_return': -3.468860000000001, 'success_rate': 0.424, 'success_rate_stderr': 0.02210085971178497, 'mean_length': 124.948, 'n_episodes': 500}","{'mean_return': -4.357140000000003, 'std_return': 2.4894513492735726, 'stderr_return': 0.1113316488730856, 'mean_discounted_return': -4.357140000000003, 'success_rate': 0.332, 'success_rate_stderr': 0.02106067425321421, 'mean_length': 156.184, 'n_episodes': 500}",0.376,"(0.25, 0.25, 0.5)"
265,"{'mean_return': -3.583840000000002, 'std_return': 2.601885788115999, 'stderr_return': 0.11635986983835976, 'mean_discounted_return': -3.583840000000002, 'success_rate': 0.422, 'success_rate_stderr': 0.022086919205719934, 'mean_length': 130.458, 'n_episodes': 500}","{'mean_return': -3.3958000000000013, 'std_return': 2.510632262996716, 'stderr_return': 0.11227888813129573, 'mean_discounted_return': -3.3958000000000013, 'success_rate': 0.434, 'success_rate_stderr': 0.02216501748251059, 'mean_length': 122.856, 'n_episodes': 500}","{'mean_return': -4.348120000000003, 'std_return': 2.4921576325746355, 'stderr_return': 0.11145267754163658, 'mean_discounted_return': -4.348120000000003, 'success_rate': 0.334, 'success_rate_stderr': 0.02109236828807993, 'mean_length': 155.952, 'n_episodes': 500}",0.381,"(0.25, 0.25, 0.5)"
270,"{'mean_return': -3.5896200000000023, 'std_return': 2.603480757678077, 'stderr_return': 0.11643119904561675, 'mean_discounted_return': -3.5896200000000023, 'success_rate': 0.42, 'success_rate_stderr': 0.02207260745811423, 'mean_length': 130.582, 'n_episodes': 500}","{'mean_return': -3.3958000000000013, 'std_return': 2.510632262996716, 'stderr_return': 0.11227888813129573, 'mean_discounted_return': -3.3958000000000013, 'success_rate': 0.434, 'success_rate_stderr': 0.02216501748251059, 'mean_length': 122.856, 'n_episodes': 500}","{'mean_return': -4.345820000000003, 'std_return': 2.489033693544547, 'stderr_return': 0.11131297074105974, 'mean_discounted_return': -4.345820000000003, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 155.944, 'n_episodes': 500}",0.3815,"(0.25, 0.25, 0.5)"
275,"{'mean_return': -3.593900000000002, 'std_return': 2.604284736736752, 'stderr_return': 0.11646715408217041, 'mean_discounted_return': -3.593900000000002, 'success_rate': 0.418, 'success_rate_stderr': 0.02205792374635473, 'mean_length': 130.656, 'n_episodes': 500}","{'mean_return': -3.3714800000000014, 'std_return': 2.5031058726310422, 'stderr_return': 0.11194229772163881, 'mean_discounted_return': -3.3714800000000014, 'success_rate': 0.442, 'success_rate_stderr': 0.022209727598509622, 'mean_length': 122.32, 'n_episodes': 500}","{'mean_return': -4.338960000000003, 'std_return': 2.4891918605041297, 'stderr_return': 0.11132004418252815, 'mean_discounted_return': -4.338960000000003, 'success_rate': 0.338, 'success_rate_stderr': 0.02115447943108031, 'mean_length': 155.784, 'n_episodes': 500}",0.384,"(0.25, 0.25, 0.5)"
280,"{'mean_return': -3.5872800000000025, 'std_return': 2.6039401301873304, 'stderr_return': 0.11645174280877045, 'mean_discounted_return': -3.5872800000000025, 'success_rate': 0.42, 'success_rate_stderr': 0.02207260745811423, 'mean_length': 130.504, 'n_episodes': 500}","{'mean_return': -3.3958000000000013, 'std_return': 2.510632262996716, 'stderr_return': 0.11227888813129573, 'mean_discounted_return': -3.3958000000000013, 'success_rate': 0.434, 'success_rate_stderr': 0.02216501748251059, 'mean_length': 122.856, 'n_episodes': 500}","{'mean_return': -4.341260000000004, 'std_return': 2.492321931934158, 'stderr_return': 0.11146002523236762, 'mean_discounted_return': -4.341260000000004, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 155.792, 'n_episodes': 500}",0.3815,"(0.25, 0.25, 0.5)"
285,"{'mean_return': -3.539020000000002, 'std_return': 2.609757314311048, 'stderr_return': 0.11671189519153576, 'mean_discounted_return': -3.539020000000002, 'success_rate': 0.428, 'success_rate_stderr': 0.022127629787213995, 'mean_length': 129.17, 'n_episodes': 500}","{'mean_return': -3.344840000000001, 'std_return': 2.518186683786572, 'stderr_return': 0.11261673209963084, 'mean_discounted_return': -3.344840000000001, 'success_rate': 0.442, 'success_rate_stderr': 0.022209727598509622, 'mean_length': 121.432, 'n_episodes': 500}","{'mean_return': -4.332320000000004, 'std_return': 2.4862456470751257, 'stderr_return': 0.11118828551245864, 'mean_discounted_return': -4.332320000000004, 'success_rate': 0.342, 'success_rate_stderr': 0.021214900423994452, 'mean_length': 155.7, 'n_episodes': 500}",0.3885,"(0.25, 0.25, 0.5)"
290,"{'mean_return': -3.555580000000002, 'std_return': 2.6157361991607666, 'stderr_return': 0.11697927905060804, 'mean_discounted_return': -3.555580000000002, 'success_rate': 0.422, 'success_rate_stderr': 0.022086919205719934, 'mean_length': 129.516, 'n_episodes': 500}","{'mean_return': -3.3739400000000015, 'std_return': 2.520373995342757, 'stderr_return': 0.11271455164618285, 'mean_discounted_return': -3.3739400000000015, 'success_rate': 0.436, 'success_rate_stderr': 0.02217674457624473, 'mean_length': 122.196, 'n_episodes': 500}","{'mean_return': -4.399960000000004, 'std_return': 2.4929459678059636, 'stderr_return': 0.11148793296496273, 'mean_discounted_return': -4.399960000000004, 'success_rate': 0.316, 'success_rate_stderr': 0.020791536739741004, 'mean_length': 157.062, 'n_episodes': 500}",0.3725,"(0.25, 0.25, 0.5)"
295,"{'mean_return': -3.3972400000000023, 'std_return': 2.6310792428963463, 'stderr_return': 0.11766544082609821, 'mean_discounted_return': -3.3972400000000023, 'success_rate': 0.446, 'success_rate_stderr': 0.022229889788300795, 'mean_length': 125.062, 'n_episodes': 500}","{'mean_return': -3.046840000000001, 'std_return': 2.544439194478817, 'stderr_return': 0.11379078006938885, 'mean_discounted_return': -3.046840000000001, 'success_rate': 0.488, 'success_rate_stderr': 0.022354238971613417, 'mean_length': 113.078, 'n_episodes': 500}","{'mean_return': -4.341260000000004, 'std_return': 2.492321931934158, 'stderr_return': 0.11146002523236762, 'mean_discounted_return': -4.341260000000004, 'success_rate': 0.336, 'success_rate_stderr': 0.02112363605064242, 'mean_length': 155.792, 'n_episodes': 500}",0.40149999999999997,"(0.25, 0.25, 0.5)"
300,"{'mean_return': -3.5705000000000022, 'std_return': 2.5981473303105838, 'stderr_return': 0.1161926809226813, 'mean_discounted_return': -3.5705000000000022, 'success_rate': 0.426, 'success_rate_stderr': 0.02211442967837968, 'mean_length': 130.086, 'n_episodes': 500}","{'mean_return': -3.373000000000001, 'std_return': 2.508151869405043, 'stderr_return': 0.11216796155765701, 'mean_discounted_return': -3.373000000000001, 'success_rate': 0.44, 'success_rate_stderr': 0.022199099080818574, 'mean_length': 122.302, 'n_episodes': 500}","{'mean_return': -4.329400000000003, 'std_return': 2.491412458827324, 'stderr_return': 0.11141935235855585, 'mean_discounted_return': -4.329400000000003, 'success_rate': 0.34, 'success_rate_stderr': 0.021184900282984576, 'mean_length': 155.534, 'n_episodes': 500}",0.3865,"(0.25, 0.25, 0.5)"
