epoch,overall,covered,held_out,weighted_success_rate,weights
55,"{'mean_return': -3.1954800000000025, 'std_return': 2.913836778132916, 'stderr_return': 0.13031074222488345, 'mean_discounted_return': -3.1954800000000025, 'success_rate': 0.404, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 117.218, 'n_episodes': 500}","{'mean_return': -1.7680400000000014, 'std_return': 2.63297021601081, 'stderr_return': 0.11775000771464952, 'mean_discounted_return': -1.7680400000000014, 'success_rate': 0.604, 'success_rate_stderr': 0.02187162545399861, 'mean_length': 75.21, 'n_episodes': 500}","{'mean_return': -5.889300000000005, 'std_return': 0.5342565956541878, 'stderr_return': 0.023892681306207652, 'mean_discounted_return': -5.889300000000005, 'success_rate': 0.048, 'success_rate_stderr': 0.009559916317625379, 'mean_length': 197.958, 'n_episodes': 500}",0.276,"(0.25, 0.25, 0.5)"
60,"{'mean_return': -3.1927000000000025, 'std_return': 2.9116348174178732, 'stderr_return': 0.13021226754803106, 'mean_discounted_return': -3.1927000000000025, 'success_rate': 0.406, 'success_rate_stderr': 0.021961967125009547, 'mean_length': 117.194, 'n_episodes': 500}","{'mean_return': -1.7753800000000015, 'std_return': 2.6395190576315244, 'stderr_return': 0.11804288081540547, 'mean_discounted_return': -1.7753800000000015, 'success_rate': 0.602, 'success_rate_stderr': 0.02189045454073533, 'mean_length': 75.386, 'n_episodes': 500}","{'mean_return': -5.889300000000005, 'std_return': 0.5342565956541878, 'stderr_return': 0.023892681306207652, 'mean_discounted_return': -5.889300000000005, 'success_rate': 0.048, 'success_rate_stderr': 0.009559916317625379, 'mean_length': 197.958, 'n_episodes': 500}",0.276,"(0.25, 0.25, 0.5)"
65,"{'mean_return': -3.202140000000003, 'std_return': 2.9119754841687824, 'stderr_return': 0.1302275026282852, 'mean_discounted_return': -3.202140000000003, 'success_rate': 0.404, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 117.44, 'n_episodes': 500}","{'mean_return': -1.8252000000000015, 'std_return': 2.659666926515426, 'stderr_return': 0.1189439209039286, 'mean_discounted_return': -1.8252000000000015, 'success_rate': 0.594, 'success_rate_stderr': 0.021961967125009547, 'mean_length': 76.772, 'n_episodes': 500}","{'mean_return': -5.889300000000005, 'std_return': 0.5342565956541878, 'stderr_return': 0.023892681306207652, 'mean_discounted_return': -5.889300000000005, 'success_rate': 0.048, 'success_rate_stderr': 0.009559916317625379, 'mean_length': 197.958, 'n_episodes': 500}",0.2735,"(0.25, 0.25, 0.5)"
70,"{'mean_return': -2.815940000000002, 'std_return': 2.842515103988018, 'stderr_return': 0.12712113999174182, 'mean_discounted_return': -2.815940000000002, 'success_rate': 0.486, 'success_rate_stderr': 0.022351912669836556, 'mean_length': 107.382, 'n_episodes': 500}","{'mean_return': -1.7947000000000017, 'std_return': 2.6691980274981493, 'stderr_return': 0.11937016469788429, 'mean_discounted_return': -1.7947000000000017, 'success_rate': 0.596, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 75.824, 'n_episodes': 500}","{'mean_return': -5.109560000000003, 'std_return': 1.7711877953509076, 'stderr_return': 0.0792099262264523, 'mean_discounted_return': -5.109560000000003, 'success_rate': 0.238, 'success_rate_stderr': 0.01904499934365974, 'mean_length': 178.49, 'n_episodes': 500}",0.38949999999999996,"(0.25, 0.25, 0.5)"
75,"{'mean_return': -2.763300000000002, 'std_return': 2.8140709497096927, 'stderr_return': 0.1258490787411653, 'mean_discounted_return': -2.763300000000002, 'success_rate': 0.5, 'success_rate_stderr': 0.022360679774997897, 'mean_length': 106.108, 'n_episodes': 500}","{'mean_return': -1.8031600000000012, 'std_return': 2.658887740089831, 'stderr_return': 0.1189090746276331, 'mean_discounted_return': -1.8031600000000012, 'success_rate': 0.596, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 76.106, 'n_episodes': 500}","{'mean_return': -5.075900000000003, 'std_return': 1.77819284387268, 'stderr_return': 0.07952320152005965, 'mean_discounted_return': -5.075900000000003, 'success_rate': 0.256, 'success_rate_stderr': 0.01951737687293044, 'mean_length': 177.986, 'n_episodes': 500}",0.402,"(0.25, 0.25, 0.5)"
80,"{'mean_return': -2.7638000000000025, 'std_return': 2.8262281507337677, 'stderr_return': 0.12639276529928453, 'mean_discounted_return': -2.7638000000000025, 'success_rate': 0.498, 'success_rate_stderr': 0.02236050088884415, 'mean_length': 106.056, 'n_episodes': 500}","{'mean_return': -1.7947000000000017, 'std_return': 2.6691980274981493, 'stderr_return': 0.11937016469788429, 'mean_discounted_return': -1.7947000000000017, 'success_rate': 0.596, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 75.824, 'n_episodes': 500}","{'mean_return': -5.075900000000003, 'std_return': 1.77819284387268, 'stderr_return': 0.07952320152005965, 'mean_discounted_return': -5.075900000000003, 'success_rate': 0.256, 'success_rate_stderr': 0.01951737687293044, 'mean_length': 177.986, 'n_episodes': 500}",0.40149999999999997,"(0.25, 0.25, 0.5)"
85,"{'mean_return': -2.3568600000000024, 'std_return': 2.8515301051190067, 'stderr_return': 0.1275243030986644, 'mean_discounted_return': -2.3568600000000024, 'success_rate': 0.542, 'success_rate_stderr': 0.022281651644346295, 'mean_length': 94.002, 'n_episodes': 500}","{'mean_return': -1.4740200000000014, 'std_return': 2.5258717385488936, 'stderr_return': 0.11296041819681804, 'mean_discounted_return': -1.4740200000000014, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 66.508, 'n_episodes': 500}","{'mean_return': -4.396340000000004, 'std_return': 2.501642741160298, 'stderr_return': 0.11187686449306675, 'mean_discounted_return': -4.396340000000004, 'success_rate': 0.316, 'success_rate_stderr': 0.020791536739741004, 'mean_length': 157.2, 'n_episodes': 500}",0.4525,"(0.25, 0.25, 0.5)"
90,"{'mean_return': -2.3578200000000025, 'std_return': 2.850890220194389, 'stderr_return': 0.12749568657487995, 'mean_discounted_return': -2.3578200000000025, 'success_rate': 0.542, 'success_rate_stderr': 0.022281651644346295, 'mean_length': 94.034, 'n_episodes': 500}","{'mean_return': -1.4707800000000015, 'std_return': 2.52318750623096, 'stderr_return': 0.11284037567821201, 'mean_discounted_return': -1.4707800000000015, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 66.4, 'n_episodes': 500}","{'mean_return': -4.3806800000000035, 'std_return': 2.501411668958153, 'stderr_return': 0.1118665306300326, 'mean_discounted_return': -4.3806800000000035, 'success_rate': 0.322, 'success_rate_stderr': 0.020895741192884256, 'mean_length': 156.884, 'n_episodes': 500}",0.4555,"(0.25, 0.25, 0.5)"
95,"{'mean_return': -2.3847800000000023, 'std_return': 2.8722677715700553, 'stderr_return': 0.12845171973624964, 'mean_discounted_return': -2.3847800000000023, 'success_rate': 0.534, 'success_rate_stderr': 0.022308921982023246, 'mean_length': 94.658, 'n_episodes': 500}","{'mean_return': -1.5047200000000014, 'std_return': 2.552000650783618, 'stderr_return': 0.11412893867551743, 'mean_discounted_return': -1.5047200000000014, 'success_rate': 0.632, 'success_rate_stderr': 0.021567382780485908, 'mean_length': 67.394, 'n_episodes': 500}","{'mean_return': -4.417400000000003, 'std_return': 2.493032538897158, 'stderr_return': 0.11149180454185867, 'mean_discounted_return': -4.417400000000003, 'success_rate': 0.316, 'success_rate_stderr': 0.020791536739741004, 'mean_length': 157.902, 'n_episodes': 500}",0.4495,"(0.25, 0.25, 0.5)"
100,"{'mean_return': -2.3627800000000025, 'std_return': 2.857504448220512, 'stderr_return': 0.12779148384458183, 'mean_discounted_return': -2.3627800000000025, 'success_rate': 0.538, 'success_rate_stderr': 0.022296008611408454, 'mean_length': 94.062, 'n_episodes': 500}","{'mean_return': -1.4703600000000014, 'std_return': 2.523356548409283, 'stderr_return': 0.1128479354742479, 'mean_discounted_return': -1.4703600000000014, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 66.386, 'n_episodes': 500}","{'mean_return': -4.376400000000003, 'std_return': 2.5004679242093895, 'stderr_return': 0.11182432508179974, 'mean_discounted_return': -4.376400000000003, 'success_rate': 0.324, 'success_rate_stderr': 0.020929596269398033, 'mean_length': 156.81, 'n_episodes': 500}",0.4555,"(0.25, 0.25, 0.5)"
