method,term,coef,std_err,t_stat,p_value_normal_approx,ci95_low,ci95_high,r2
ols,prior_error,50.40073054760533,13.917671566590919,3.6213478890097703,0.00029307210232598635,23.12209427708713,77.67936681812353,0.038521550261655046
ols,log_coverage,0.7420984675489426,1.5970643696083726,0.4646640934898058,0.6421720256315133,-2.388147696883468,3.872344631981353,0.038521550261655046
ols,intercept,-34.99523407318462,9.754753420128177,-3.5875057590871204,0.00033385636113658634,-54.114550776635845,-15.875917369733394,0.038521550261655046
wls,prior_error,-0.0732729193099877,0.12721350822193275,-0.5759837955428289,0.5646261345740469,-0.32261139542497586,0.1760655568050005,0.004061820937823146
wls,log_coverage,0.015429009855544948,0.013619448129125935,1.1328660096402265,0.25727052592332234,-0.011265108477541884,0.04212312818863178,0.004061820937823146
wls,intercept,0.0029027686310388067,0.11565384281351908,0.025098765077086523,0.979976185198886,-0.22377876328345858,0.2295843005455362,0.004061820937823146
