min_prior_error,n,ols_coef,ols_ci95_low,ols_ci95_high,wls_coef,wls_ci95_low,wls_ci95_high
0.001,351,50.40073054760533,23.12209427708713,77.67936681812353,-0.0732729193099877,-0.32261139542497586,0.1760655568050005
0.011,279,3.9821115343534164,1.191870933822723,6.77235213488411,-0.08355216502564193,-0.3039196231366535,0.1368152930853696
0.020999999999999998,259,0.9729557065682142,0.011376496087527221,1.934534917048901,-0.09669205531103915,-0.29282550629766224,0.09944139567558392
0.030999999999999996,247,0.6321913332275383,-0.25433071088128567,1.5187133773363621,-0.10120375203722108,-0.29906046811793185,0.0966529640434897
0.040999999999999995,236,0.5183585472052408,-0.1760270128994973,1.212744107309979,-0.10465678188264672,-0.299133422617334,0.08981985885204057
0.05099999999999999,229,0.3617944431492254,-0.25841149761674775,0.9820003839151985,-0.10910340541376394,-0.302569223747807,0.08436241292027911
0.06099999999999999,215,-0.29511330010547526,-0.703326897208904,0.11310029699795349,-0.13217907196818282,-0.3199847419120214,0.05562659797565575
0.071,209,-0.21720043517329518,-0.6385927238253519,0.20419185347876156,-0.12850324392125195,-0.3191811641257568,0.062174676283252905
0.08099999999999999,201,-0.47300706717603025,-0.8376684524753184,-0.10834568187674215,-0.14080581155136535,-0.3315660384980791,0.04995441539534842
0.09099999999999998,195,-0.5483121599064122,-0.8548705738568704,-0.2417537459559541,-0.14323245935585635,-0.3332795969430781,0.046814678231365425
0.10099999999999998,192,-0.5106476527346324,-0.8210854386177833,-0.20020986685148162,-0.13913699663367565,-0.3307272280788361,0.052453234811484784
0.11099999999999999,187,-0.44284299831755736,-0.7586289136054574,-0.1270570830296574,-0.13134156224628207,-0.32551256808156803,0.06282944358900391
0.12099999999999998,179,-0.2970139822765962,-0.6238828911082452,0.029854926555052785,-0.114134464049282,-0.3127986099336694,0.08452968183510544
0.13099999999999998,174,-0.3456985446347722,-0.6757952624472328,-0.015601826822311649,-0.11760051018496102,-0.3189736462084094,0.08377262583848737
0.141,171,-0.5170061605742727,-0.7978025151921797,-0.2362098059563657,-0.1356990831913948,-0.3334916544313036,0.06209348804851403
0.15099999999999997,166,-0.5493990584325436,-0.8200753483959518,-0.2787227684691354,-0.13502338018210203,-0.33476840188520496,0.0647216415210009
0.16099999999999998,162,-0.48890070618695647,-0.7666606442328865,-0.21114076814102645,-0.12249034371503936,-0.32503706424228007,0.08005637681220132
0.17099999999999999,161,-0.4649772506893479,-0.7439927215339439,-0.18596177984475193,-0.11750255097404869,-0.3206759564773217,0.08567085452922432
0.18099999999999997,159,-0.41357236354291155,-0.6931597519594079,-0.13398497512641516,-0.10625210980658212,-0.31035508562252623,0.09785086600936202
0.19099999999999998,157,-0.37537007249303656,-0.6581740432365757,-0.09256610174949742,-0.09625226894592288,-0.301882164045829,0.10937762615398326
0.20099999999999996,154,-0.3309411887954012,-0.6194331308936531,-0.04244924669714922,-0.08346194730205582,-0.2916643975744592,0.1247405029703476
0.21099999999999997,150,-0.23881273606054276,-0.5275822676952482,0.04995679557416266,-0.061225915647767665,-0.27139543929751014,0.14894360800197481
0.22099999999999997,149,-0.20637469536851333,-0.4952007199799091,0.08245132924288245,-0.05253749073363482,-0.26321004644738855,0.15813506498011892
0.23099999999999996,147,-0.13776921819254756,-0.4252738157990254,0.14973537941393028,-0.03329412413110957,-0.2446914211471257,0.17810317288490654
0.24099999999999996,144,-0.07768798985936858,-0.3679181707983836,0.21254219107964645,-0.0170675014914978,-0.2308433653713846,0.196708362388389
0.25099999999999995,143,-0.03868303266476868,-0.32534111244035757,0.2479750471108202,-0.007078989399886138,-0.22061849135990313,0.20646051256013087
0.26099999999999995,140,-0.030885628937738302,-0.3191716470326168,0.25740038915714014,-0.004313483486287737,-0.2198939930959267,0.21126702612335121
0.27099999999999996,136,0.03585894334438365,-0.25613428191787596,0.3278521686066433,0.018895277669346965,-0.20075056772891262,0.23854112306760653
0.28099999999999997,131,0.11104711681055165,-0.18542474857441568,0.40751898219551896,0.04281940847663639,-0.18178415996752917,0.26742297692080197
0.291,130,0.02835070559983197,-0.24545938868300474,0.3021607998826687,0.016314268506764804,-0.20196749241891,0.23459602943243962
