epoch,policy_loss,value_loss,entropy,approx_kl,clip_frac
0,-0.00270308444795468,0.016844457299877658,0.3464895517636601,0.0036881126270201267,0.04225664550592003
1,-0.004566440327766863,0.016277311481707985,0.34375745810746333,0.005401221069228948,0.05887291821647074
2,-0.005704603107988485,0.01594708457126894,0.3485211352206974,0.00994660454027551,0.07578539993270672
3,-0.007497857463387623,0.015643096125041243,0.3561035330443194,0.017746862406406036,0.10609665295079183
4,-0.008414781461676436,0.015410355108130318,0.3508842391888727,0.017519799995166625,0.10985815648565288
5,-0.008960921172770525,0.01520731242855821,0.34938056833101216,0.01823431250890367,0.113994156414128
6,-0.009270679428496888,0.015055634114738719,0.3478981276827868,0.01894193075425643,0.11856820485552365
7,-0.00957254406397591,0.014881857425866259,0.3464127018328471,0.02009811098909851,0.12399158626431549
8,-0.009858452339794238,0.014750760501574839,0.34369316233593566,0.020741501536087722,0.12766026761809657
9,-0.010385455172245588,0.014576019024270255,0.3433832082877445,0.021722363174458404,0.13436170818165186
10,-0.010472327177612603,0.014474711086426652,0.3427825890652207,0.022227072391612705,0.13560067377312482
11,-0.010710315783619372,0.014340766372049235,0.3425184703495141,0.02226125979071791,0.13636079319420819
12,-0.010873682260343479,0.014169235289894201,0.3409453743059771,0.02252603072306638,0.13801826050969115
13,-0.010984545683593597,0.014103960387748388,0.34100471616430666,0.02271257198632748,0.139462818203177
14,-0.01117707915451543,0.014031894986578121,0.3402402855779182,0.022684268368569738,0.13940006800391858
15,-0.01142489475092289,0.01390618495511455,0.33993112581756163,0.023358126145845204,0.14062369688219237
16,-0.011494432952661868,0.013810239262517445,0.3408459996462217,0.0233538589097,0.1415697613804588
17,-0.011484237531379868,0.013763649181859239,0.33894391692829734,0.02372124756192348,0.14339292530735082
18,-0.011575940338102806,0.013721064663742342,0.34029139045794843,0.024079060820414926,0.14480731077946318
19,-0.011710693033390302,0.013660830539582648,0.33911286595970874,0.023968007938976313,0.14532605244045663
20,-0.011831283566611445,0.013641578867769951,0.340113960595203,0.024695121741756934,0.14538770000101123
21,-0.011892226329225427,0.013555596532642492,0.34074672533499795,0.024944803410385446,0.14809437870601513
22,-0.01196163389089357,0.01351224944864589,0.3397289622213595,0.025189260739039834,0.14681581834622676
23,-0.01201462528127078,0.013505723506533725,0.34045738026841216,0.02546043334601911,0.14786362637838812
24,-0.012099330557005317,0.013455338919374534,0.34048085031655867,0.025846398105869375,0.14868138375978596
25,-0.012103561222619548,0.01343464349209899,0.34206251367774027,0.026244449441020137,0.15049342105282276
26,-0.012191699257893337,0.013389663964687964,0.3418613012565862,0.026404948251345525,0.1502110451561599
27,-0.012308240223411235,0.013365409303609117,0.3422950867441792,0.026487777033445677,0.15065570950856852
28,-0.012376684792315282,0.013335367464444539,0.3435466050927317,0.027373812165699795,0.15307800752223846
29,-0.012557776675306203,0.01328950006036185,0.34487991878487667,0.02699641474222502,0.15353359801486782
