epoch,policy_loss,value_loss,entropy,approx_kl,clip_frac
0,-0.00270308444795468,0.016844457299877658,0.3464895517636601,0.0036881126270201267,0.04225664550592003
1,-0.004566440327766863,0.016277311481707985,0.34375745810746333,0.005401221069228948,0.05887291821647074
2,-0.005704603107988485,0.01594708457126894,0.3485211352206974,0.00994660454027551,0.07578539993270672
3,-0.007497857463387623,0.015643096125041243,0.3561035330443194,0.017746862406406036,0.10609665295079183
4,-0.008414781461676436,0.015410355108130318,0.3508842391888727,0.017519799995166625,0.10985815648565288
5,-0.008960921172770525,0.01520731242855821,0.34938056833101216,0.01823431250890367,0.113994156414128
6,-0.009270679428496888,0.015055634114738719,0.3478981276827868,0.01894193075425643,0.11856820485552365
7,-0.00957254406397591,0.014881857425866259,0.3464127018328471,0.02009811098909851,0.12399158626431549
8,-0.009858452339794238,0.014750760501574839,0.34369316233593566,0.020741501536087722,0.12766026761809657
9,-0.010385455172245588,0.014576019024270255,0.3433832082877445,0.021722363174458404,0.13436170818165186
