policy,mean_return,stderr_return,success_rate,mean_length,gap_vs_reference_return,gap_vs_reference_success_rate,uncovered_state_step_rate,uncovered_state_episode_rate
prior_pi_beta,-0.8443200000000011,0.03871338108716418,0.666,151.698,0.6799000000000003,0.2759999999999999,,
pi_D*_empirical,-0.16442000000000076,0.024493961035324616,0.942,111.584,0.0,0.0,0.0,0.0
pi_D*_true_restricted,0.2735799999999996,0.006183038670427352,0.998,73.44,-0.4380000000000004,-0.05600000000000005,0.0,0.0
standard,-0.03790000000000058,0.031087958762196027,0.894,93.886,-0.1265200000000002,0.04799999999999993,,
modified,-0.024100000000000572,0.03083791789339871,0.896,92.708,-0.1403200000000002,0.04599999999999993,,
