policy,masked,mean_return,std_return,stderr_return,mean_discounted_return,success_rate,success_rate_stderr,mean_length,n_episodes,uncovered_state_step_rate,uncovered_state_episode_rate
pi_D* empirical,False,0.12907999999999945,0.20843309142264344,0.009321411223629181,0.12907999999999945,0.992,0.003983967871356396,87.284,500,0.0,0.0
pi_D* empirical (disagreement states masked),True,-2.000000000000001,4.440892098500626e-16,1.9860273225978184e-17,-2.000000000000001,0.0,0.0,200.0,500,5e-05,0.006
πβ (prior),,-1.497960000000001,0.7399574571554774,0.033091903493150714,-1.497960000000001,0.348,0.02130239423163509,180.588,500,,
best-config PPO (epoch 155),,0.03481999999999944,0.40526801946366314,0.018124136812549173,0.03481999999999944,0.954,0.009368457717255283,90.1,500,,
