state,row,col,best_action,best_q,n_near_optimal,on_shortest_path
419,13,29,2,0.08198297365369152,1,False
420,14,0,3,-0.665552968303151,2,False
421,14,1,0,-0.6400339397212114,1,False
422,14,2,1,-0.5574779495696154,1,True
423,14,3,1,-0.5286054819669139,1,False
424,14,4,3,-0.5556076624842603,1,False
425,14,5,0,-0.5281818830912361,1,False
426,14,6,1,-0.4436831210505836,1,True
427,14,7,1,-0.3990787441968701,1,False
428,14,8,1,-0.3695012800533495,1,True
429,14,9,1,-0.3399667810011451,1,False
430,14,10,2,-0.3694808386185871,1,False
431,14,11,0,-0.3962127445288385,1,False
432,14,12,3,-0.3075845076069714,1,False
433,14,13,3,-0.27737536274592406,2,True
434,14,14,1,-0.24695886636047337,1,True
435,14,15,1,-0.2743542202166742,2,False
436,14,16,3,-0.11448466687275262,1,True
437,14,17,1,-0.08212708983380831,1,True
438,14,18,1,0.012283370514295362,1,False
439,14,19,3,-0.017949562475855812,2,False
440,14,20,3,0.013797354568900069,1,True
441,14,21,3,0.048494420052517036,1,True
442,14,22,1,0.08360889820388917,1,True
443,14,23,2,0.049395063927876744,1,False
444,14,24,2,0.015562009423649813,1,False
445,14,25,3,-0.019381843422784824,1,False
446,14,26,0,0.013974231857084156,1,False
447,14,27,1,0.11753672313184782,1,True
448,14,28,3,0.15155656234673678,1,False
449,14,29,1,0.18691668767205483,1,False
450,15,0,0,-0.6913839749061297,1,False
451,15,1,1,-0.7143570676632603,2,False
452,15,2,3,-0.5300528013046858,1,True
453,15,3,3,-0.5016178268423375,1,True
454,15,4,3,-0.4728375573213404,1,True
455,15,5,3,-0.44446307072845875,1,True
456,15,6,3,-0.4150012871474083,1,True
457,15,7,1,-0.369936848376606,1,True
458,15,8,3,-0.3399673132741702,1,True
459,15,9,1,-0.31012151196918186,1,True
460,15,10,0,-0.3986649456633692,1,False
461,15,11,2,-0.427432439921668,1,False
462,15,12,3,-0.2775860598209747,1,False
463,15,13,3,-0.24704088433556326,1,True
464,15,14,1,-0.21533314467892695,1,True
465,15,15,1,-0.24533055350644514,1,True
466,15,16,1,-0.01628385263801455,1,True
467,15,17,2,-0.0493893566824288,1,True
468,15,18,1,0.04599464411150988,1,False
469,15,19,1,0.08277423504192626,1,False
470,15,20,1,0.04861843510552975,1,False
471,15,21,2,0.015670711128301113,2,False
472,15,22,3,0.11915567921903158,1,True
473,15,23,1,0.15417761710853756,1,True
474,15,24,0,-0.017852114536322433,1,False
475,15,25,2,-0.04926646450431478,2,False
476,15,26,1,0.1869562597383144,1,True
477,15,27,2,0.15251580104283843,2,True
478,15,28,3,0.18694166521832364,1,True
479,15,29,1,0.22267353176544513,1,True
480,16,0,1,-0.6641359021579325,1,False
481,16,1,2,-0.6900187162817385,1,False
482,16,2,0,-0.5567632440273198,2,False
483,16,3,3,-0.5307740623504306,1,False
484,16,4,3,-0.502422697767832,1,False
485,16,5,0,-0.4736344031913977,1,False
487,16,7,3,-0.33921095342999075,1,True
488,16,8,3,-0.30932467839244904,1,True
489,16,9,1,-0.2791347373351138,1,True
