epoch,state,argmax_action,action_0,action_1,action_2,action_3
0,386,1,5.1461203838698566e-05,0.6547923684120178,0.0006089832168072462,0.34454718232154846
0,322,1,1.330669988419686e-06,0.9498441815376282,0.000994914211332798,0.049159497022628784
0,465,1,0.09693123400211334,0.8477044105529785,0.053734298795461655,0.0016301196301355958
0,334,0,0.9275647401809692,1.589123348821886e-05,0.07241646200418472,2.83156964542286e-06
5,386,1,1.3803134606860112e-05,0.7582434415817261,0.00035565122379921377,0.2413870096206665
5,322,1,2.1034719566159765e-07,0.9704223275184631,0.0004195125657133758,0.029157938435673714
5,465,1,0.06365975737571716,0.8914408087730408,0.044079381972551346,0.0008200929732993245
5,334,0,0.9430354833602905,5.652565050695557e-06,0.056958071887493134,8.353069347322162e-07
10,386,1,1.4402662600332405e-05,0.8245391845703125,0.0005651128594763577,0.1748812347650528
10,322,1,2.2788837839016196e-07,0.9688735604286194,0.0005673913401551545,0.030558813363313675
10,465,1,0.06834445893764496,0.8912690877914429,0.03981075435876846,0.0005756611353717744
10,334,0,0.94269859790802,8.041866749408655e-06,0.057292185723781586,1.085329927263956e-06
15,386,1,1.183830954687437e-05,0.8900648951530457,0.0006658604834228754,0.1092572957277298
15,322,1,2.5283102900175436e-07,0.9657968282699585,0.0006315284408628941,0.03357141092419624
15,465,1,0.067982517182827,0.8904470801353455,0.04119015112519264,0.00038017521728761494
15,334,0,0.9171162247657776,1.3114843568473589e-05,0.08286911994218826,1.5229836662911111e-06
20,386,1,1.1369063031452242e-05,0.9321213960647583,0.0007879349286668003,0.0670793354511261
20,322,1,2.978511020046426e-07,0.9735801219940186,0.0008870826568454504,0.025532441213726997
20,465,1,0.07689885795116425,0.8751283288002014,0.04769672453403473,0.00027604616479948163
20,334,0,0.9141401648521423,1.3242406566860154e-05,0.08584509789943695,1.4564362800228992e-06
25,386,1,1.0331035809940659e-05,0.9298244118690491,0.000844302645418793,0.06932098418474197
25,322,1,3.5632407957564283e-07,0.9816765785217285,0.0010374593548476696,0.01728558912873268
25,465,1,0.07672329992055893,0.8755146861076355,0.04744427651166916,0.00031780259450897574
25,334,0,0.9178087115287781,1.3408482118393295e-05,0.08217617124319077,1.598599624230701e-06
30,386,1,1.2143551430199295e-05,0.9319558143615723,0.0008268777746707201,0.06720520555973053
30,322,1,3.732792777100258e-07,0.9867247343063354,0.0009871486108750105,0.012287771329283714
30,465,1,0.09484877437353134,0.84769207239151,0.05726226046681404,0.00019693552167154849
30,334,0,0.9136166572570801,1.578189585416112e-05,0.08636574447154999,1.8259221405969583e-06
35,386,1,9.436471373192035e-06,0.9155240654945374,0.0006887564668431878,0.0837777778506279
35,322,1,2.9708357374147454e-07,0.9886274933815002,0.0007570071029476821,0.010615172795951366
35,465,1,0.08286943286657333,0.8676624894142151,0.04930700734257698,0.00016109524585772306
35,334,0,0.9207351207733154,1.663566035858821e-05,0.07924601435661316,2.1497235138667747e-06
40,386,1,6.7960741034767125e-06,0.9110043048858643,0.0006712479516863823,0.08831752091646194
40,322,1,2.468421769208362e-07,0.991240918636322,0.0008254650165326893,0.007933360524475574
40,465,1,0.07942750304937363,0.8693779706954956,0.05104488134384155,0.00014970017946325243
40,334,0,0.9256617426872253,1.728993265714962e-05,0.07431849092245102,2.4609068987047067e-06
45,386,1,4.8350743782066274e-06,0.9181228876113892,0.000774987624026835,0.0810973197221756
45,322,1,2.3445275587619108e-07,0.9925476908683777,0.0009969888487830758,0.0064550586976110935
45,465,1,0.08330246806144714,0.8595308661460876,0.05703981593251228,0.00012689977302215993
45,334,0,0.9284163117408752,1.8566304788691923e-05,0.07156252861022949,2.5733495476742974e-06
50,386,1,3.492080850264756e-06,0.9100192189216614,0.0006698817014694214,0.08930741995573044
50,322,1,2.2615525097080535e-07,0.9926133155822754,0.0010447006206959486,0.006341665517538786
50,465,1,0.07501256465911865,0.8744041919708252,0.050439439713954926,0.00014388452109415084
50,334,0,0.9239922761917114,1.986252209462691e-05,0.07598502188920975,2.877983888538438e-06
55,386,1,2.6751479254016886e-06,0.9155805706977844,0.0006835283129476011,0.08373304456472397
55,322,1,2.2273479771683924e-07,0.9931679964065552,0.0010991401504725218,0.005732503719627857
55,465,1,0.07159675657749176,0.8826946020126343,0.04558078944683075,0.00012784436694346368
55,334,0,0.9218739867210388,1.9022019841941074e-05,0.07810449600219727,2.5041904336831067e-06
60,386,1,2.126387244061334e-06,0.9113499522209167,0.0006647967384196818,0.0879831463098526
60,322,1,2.1827290197506954e-07,0.9930168390274048,0.0011057051597163081,0.005877199117094278
60,465,1,0.07455804944038391,0.8795197606086731,0.0457751527428627,0.00014710694085806608
60,334,0,0.9164952039718628,1.831269037211314e-05,0.08348417282104492,2.2793303742218995e-06
65,386,1,2.8325055154709844e-06,0.8689014911651611,0.0006922718021087348,0.13040344417095184
65,322,1,2.8018115472150384e-07,0.9905484318733215,0.0011858816724270582,0.008265475742518902
65,465,1,0.10615045577287674,0.8367921113967896,0.05688263848423958,0.00017480055976193398
65,334,0,0.8953152894973755,1.8008027836913243e-05,0.10466457903385162,2.116529685736168e-06
70,386,1,2.506895498299855e-06,0.8587191700935364,0.0007614431087858975,0.1405169665813446
70,322,1,3.1137111022871977e-07,0.9901320934295654,0.0013245228910818696,0.008542963303625584
70,465,1,0.12312863022089005,0.8128675818443298,0.06384511291980743,0.00015872428775765002
70,334,0,0.9044252038002014,1.5505740520893596e-05,0.09555754065513611,1.7146758182207122e-06
75,386,1,2.319239683856722e-06,0.8442415595054626,0.000764504075050354,0.15499165654182434
75,322,1,3.1895618235466827e-07,0.988504946231842,0.0012899501016363502,0.010204768739640713
75,465,1,0.10971269756555557,0.8320976495742798,0.058048173785209656,0.0001414008584106341
75,334,0,0.8940580487251282,1.53055225382559e-05,0.10592499375343323,1.5500588688155403e-06
80,386,1,1.951694684976246e-06,0.8492168188095093,0.0007129426812753081,0.15006831288337708
80,322,1,2.916332562108437e-07,0.9897387623786926,0.0011941834818571806,0.00906687043607235
80,465,1,0.09961657226085663,0.8462084531784058,0.0540010929107666,0.00017394640599377453
80,334,0,0.8991838097572327,1.2804638572561089e-05,0.10080186277627945,1.5891110933807795e-06
