epoch,mean_return,mean_return_stderr,success_rate,success_rate_stderr,clip_frac,entropy
0,-1.497960000000001,0.033091903493150714,0.348,0.02130239423163509,0.0,0.4188689887523651
5,-0.07406000000000057,0.02618812388851099,0.898,0.013534843922262271,0.1696501534100156,0.3437145068717607
10,-0.07938000000000059,0.026466636189738962,0.896,0.013651666564928987,0.19654585256599932,0.3449930993265922
15,-0.08676000000000059,0.02700989086982767,0.892,0.013880633991284403,0.21509558037959056,0.3542737124498419
20,0.008599999999999417,0.019889396169818736,0.948,0.009929350431926557,0.21880761178808922,0.3527073752217281
25,-0.04602000000000058,0.023564497007150395,0.916,0.012405160216619531,0.23380471529623376,0.37262098854278214
30,-0.07814000000000058,0.026468273098183046,0.896,0.013651666564928987,0.23885538098223366,0.36997519055791106
35,0.011719999999999418,0.01949963289910864,0.95,0.00974679434480897,0.23774643659055575,0.3705018768033724
40,0.013919999999999422,0.01946922872637743,0.95,0.00974679434480897,0.23727911683324898,0.37051900978811625
45,-0.7539800000000011,0.03502496137328349,0.73,0.019854470529329156,0.24223201342371772,0.37245328757281393
50,0.005299999999999418,0.0202778159573461,0.946,0.010107818755794947,0.2423690625954532,0.3764896938182834
55,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.2464647552003065,0.3763832713942594
60,0.005299999999999418,0.0202778159573461,0.946,0.010107818755794947,0.2524892205063281,0.3776815238782644
65,0.010839999999999418,0.019560127525146666,0.95,0.00974679434480897,0.2529050840258306,0.3824386550258245
70,0.017899999999999423,0.01904725649535912,0.952,0.009559916317625384,0.2540149806236402,0.3815767148529421
75,-0.7539800000000011,0.03502496137328349,0.73,0.019854470529329156,0.2543209888778158,0.3852037526210214
80,0.007539999999999417,0.019955698354104275,0.948,0.009929350431926557,0.26587047239648254,0.3935039007727084
85,-0.07184000000000058,0.025952888640765982,0.9,0.013416407864998736,0.2837257997505214,0.4094763196523523
90,0.01615999999999942,0.01913148475158162,0.952,0.009559916317625384,0.2784845068356295,0.40543353025141254
95,-0.036540000000000565,0.02290368653295797,0.92,0.012132600710482479,0.2904830533807042,0.41806383611282555
100,-0.40586000000000094,0.026231136475570408,0.898,0.013534843922262271,0.29382651631255086,0.4170140068816632
105,-0.40366000000000085,0.02605521845619415,0.9,0.013416407864998736,0.29716036727656525,0.41639861873886375
110,-0.08332000000000059,0.026240662247740628,0.898,0.013534843922262271,0.29961818770999704,0.4163174149766869
115,-0.778340000000001,0.035172916978834734,0.706,0.020374690181693564,0.29563016856876634,0.4171508559294636
120,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.29665516199923303,0.4168277586447052
125,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.3003706798042709,0.4188119684294999
130,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.30571935376425013,0.4218088264896162
135,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.31164930395337276,0.4288682217054063
140,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.3112110525113778,0.426361662181108
145,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.313066820799086,0.42859446907374865
150,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.3151736397019002,0.4294660683060316
155,-0.4146400000000009,0.02671092923879663,0.894,0.013766916866168691,0.31550868626802747,0.43012181416653456
160,-0.4146400000000009,0.02671092923879663,0.894,0.013766916866168691,0.32808943124501705,0.43177047749571595
165,-0.06916000000000058,0.025293528595275123,0.904,0.013174520864152895,0.3286231649964926,0.42958481734099196
170,-0.03716000000000057,0.023120464285995644,0.918,0.012269963325128561,0.3306471725906004,0.43160109592332085
175,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.3315446988320799,0.43120128237996447
180,-0.4146400000000009,0.02671092923879663,0.894,0.013766916866168691,0.33120358667701166,0.4300176793083439
185,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.33065934874001623,0.4303169697401276
190,-0.4146400000000009,0.02671092923879663,0.894,0.013766916866168691,0.3303124484159083,0.4288886003043938
195,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.3310397109801128,0.430089920296205
200,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.33188992718010774,0.427876700206263
205,-0.4146400000000009,0.02671092923879663,0.894,0.013766916866168691,0.33225597644671007,0.43104299235226967
210,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.33176380955139734,0.4304129330841908
215,-0.08270000000000058,0.026737722790095644,0.894,0.013766916866168691,0.3306561097661102,0.4306686537268702
220,-0.4146400000000009,0.02671092923879663,0.894,0.013766916866168691,0.33077781878332574,0.4303212818047694
225,-1.1610600000000013,0.0354394998948913,0.542,0.022281651644346295,0.3301160330179765,0.43202686742350205
230,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.3314677356625812,0.42878058938978153
235,-0.4146400000000009,0.02671092923879663,0.894,0.013766916866168691,0.3318117194042182,0.4296414959484305
240,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.33229111033877873,0.4273574135996529
245,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.33181907458326804,0.42880832510509165
250,-0.4146400000000009,0.02671092923879663,0.894,0.013766916866168691,0.3334569017709715,0.4292777952534784
255,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.3322170487531169,0.42789384096446625
260,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.330418817290788,0.4300522992261004
265,-0.037080000000000564,0.022904544247812485,0.92,0.012132600710482479,0.3315019023559762,0.42867554819252485
270,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.3325696172937446,0.4282793314093366
275,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.33057023941836977,0.4264700471477633
280,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.33205638205722426,0.42799882861257865
285,-0.03718000000000056,0.02312016641808618,0.918,0.012269963325128561,0.33145783128839773,0.42840224933351345
290,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.3325208152232361,0.42788849442051946
295,-0.41994000000000087,0.026975077252901433,0.89,0.013992855319769442,0.3305855345769876,0.4271559157604481
300,-0.04072000000000057,0.02323567436507923,0.918,0.012269963325128561,0.330482389689564,0.4287269919842652
