state,covered,critic_pred,true_value,abs_error,signed_error
0,True,-0.6400913000106812,-0.6583917841081031,0.01830048409742191,0.01830048409742191
1,True,-0.6249808669090271,-0.654656812301944,0.029675945392916847,0.029675945392916847
2,True,-0.5981927514076233,-0.6507640823934605,0.05257133098583722,0.05257133098583722
3,True,-0.5919548273086548,-0.6468213996900594,0.05486657238140458,0.05486657238140458
4,False,-0.6250796914100647,-0.9510520535953552,0.32597236218529047,0.32597236218529047
5,False,-0.613994836807251,-0.9505167914257591,0.3365219546185081,0.3365219546185081
6,False,-0.5882732272148132,-0.9499582341848739,0.3616850069700607,0.3616850069700607
7,False,-0.5619484186172485,-0.9493924105210642,0.3874439919038156,0.3874439919038156
8,False,-0.42476776242256165,-0.9488198708375699,0.5240521084150083,0.5240521084150083
9,False,-0.5957594513893127,-0.9498635000101965,0.35410404862088374,0.35410404862088374
10,False,-0.40338319540023804,-0.9693904583128203,0.5660072629125823,0.5660072629125823
11,False,-0.4792155921459198,-0.9979827126910755,0.5187671205451557,0.5187671205451557
12,True,-0.31408625841140747,-0.998749913994299,0.6846636555828916,0.6846636555828916
13,True,-0.30096012353897095,-0.9994451719727506,0.6984850484337797,0.6984850484337797
14,True,-0.4522629678249359,-0.9997803120841644,0.5475173442592285,0.5475173442592285
15,True,-0.5152255296707153,-0.9997872254058287,0.4845616957351133,0.4845616957351133
16,True,-0.1733897626399994,-0.9977852855838001,0.8243955229438007,0.8243955229438007
17,True,-0.23123136162757874,-0.9949664673455912,0.7637351057180125,0.7637351057180125
18,True,-0.19753095507621765,-0.9948326245647072,0.7973016694884896,0.7973016694884896
19,True,-0.015697307884693146,-0.9947717991073046,0.9790744912226115,0.9790744912226115
20,True,-0.07685261219739914,-0.9993302343215454,0.9224776221241463,0.9224776221241463
21,False,-0.03548923879861832,-0.9999740369541531,0.9644847981555348,0.9644847981555348
22,False,-0.05450844764709473,-0.9999997037612184,0.9454912561141237,0.9454912561141237
23,False,0.045334331691265106,-1.0000000486316258,1.045334380322891,1.045334380322891
25,False,-0.02726767212152481,-0.9999953595347757,0.9727276874132509,0.9727276874132509
26,False,0.2149629294872284,-0.9999951907195367,1.2149581202067652,1.2149581202067652
27,False,0.22264784574508667,-0.9999950943896847,1.2226429401347714,1.2226429401347714
28,False,0.0005822703242301941,-0.9999949828375526,1.000577253161783,1.000577253161783
29,False,-0.08014381676912308,-0.9999949447575822,0.9198511279884591,0.9198511279884591
30,False,-0.7216452360153198,-0.999999861262596,0.27835462524727617,0.27835462524727617
31,False,-0.6516333222389221,-0.9999999355189311,0.34836661328000895,0.34836661328000895
32,False,-0.68332839012146,-0.9999999102796614,0.31667152015820144,0.31667152015820144
33,True,-0.5844154953956604,-0.6404924696698217,0.05607697427416125,0.05607697427416125
34,True,-0.5718774199485779,-0.5549039749984941,0.016973444950083794,-0.016973444950083794
35,True,-0.5307929515838623,-0.5042573417023475,0.02653560988151482,-0.02653560988151482
36,True,-0.5272976160049438,-0.49740213333779704,0.02989548266714681,-0.02989548266714681
37,True,-0.531779944896698,-0.49168772897838414,0.040092215918313856,-0.040092215918313856
38,False,-0.4895293712615967,-0.9470348237629901,0.4575054525013934,0.4575054525013934
39,False,-0.5205623507499695,-0.9464066839137223,0.4258443331637528,0.4258443331637528
40,True,-0.44472959637641907,-0.945799658110508,0.501070061734089,0.501070061734089
41,True,-0.3623523712158203,-0.9445517198504225,0.5821993486346022,0.5821993486346022
42,True,-0.2747661769390106,-0.9981780544037129,0.7234118774647023,0.7234118774647023
43,True,-0.4499306380748749,-0.9991773926385719,0.549246754563697,0.549246754563697
44,True,-0.32180696725845337,-0.9997841815402128,0.6779772142817594,0.6779772142817594
45,True,-0.31405606865882874,-0.9997740367481146,0.6857179680892859,0.6857179680892859
46,True,-0.16580814123153687,-0.9997631807900634,0.8339550395585266,0.8339550395585266
47,True,-0.30891385674476624,-0.9998869856878384,0.6909731289430722,0.6909731289430722
48,True,-0.386618047952652,-0.9998891771694021,0.6132711292167501,0.6132711292167501
49,True,-0.03196469694375992,-0.9811418747180853,0.9491771777743254,0.9491771777743254
50,True,-0.1390482783317566,-0.9994501646216882,0.8604018862899316,0.8604018862899316
51,True,0.009540267288684845,-0.9999530949396327,1.0094933622283175,1.0094933622283175
52,False,-0.0945124551653862,-1.0000003312291232,0.905487876063737,0.905487876063737
53,False,-0.033882834017276764,-1.0000002259093999,0.9661173918921231,0.9661173918921231
54,False,0.17771053314208984,-0.9999967465170969,1.1777072796591868,1.1777072796591868
55,False,0.14500275254249573,-0.9999959414812045,1.1449986940237002,1.1449986940237002
56,False,0.18624380230903625,-0.9999957094737448,1.186239511782781,1.186239511782781
57,False,-0.02942267805337906,-0.9999955078383276,0.9705728297849485,0.9705728297849485
58,False,0.34165307879447937,-1.0000006339461087,1.341653712740588,1.341653712740588
59,False,0.35270506143569946,-1.0000007512865121,1.3527058127222116,1.3527058127222116
60,False,-0.7587162256240845,-0.9999998824190653,0.24128365679498087,0.24128365679498087
61,False,-0.656843364238739,-0.9999998972478745,0.3431565330091355,0.3431565330091355
62,False,-0.5931771397590637,-0.9999998680184842,0.40682272825942045,0.40682272825942045
63,True,-0.6305562257766724,-0.6342396553910409,0.0036834296143685163,0.0036834296143685163
64,True,-0.5369594097137451,-0.5874585068946582,0.050499097180913055,0.050499097180913055
65,True,-0.5499200820922852,-0.5802196227788678,0.030299540686582693,0.030299540686582693
66,True,-0.5990875959396362,-0.5855725353185728,0.013515060621063446,-0.013515060621063446
67,True,-0.4909098744392395,-0.4850422298251066,0.005867644614132916,-0.005867644614132916
68,True,-0.5112531185150146,-0.47922812627270084,0.03202499224231381,-0.03202499224231381
69,True,-0.5129793286323547,-0.47334438164806464,0.0396349469842901,-0.0396349469842901
70,True,-0.502613365650177,-0.8949692318260641,0.39235586617588714,0.39235586617588714
71,True,-0.3390868306159973,-0.8938184708962957,0.5547316402802984,0.5547316402802984
72,True,-0.4495323896408081,-0.9997490046450277,0.5502166150042196,0.5502166150042196
73,True,-0.4742652475833893,-0.9997890595982284,0.5255238120148391,0.5255238120148391
74,True,-0.4388028085231781,-0.9997877880849432,0.5609849795617651,0.5609849795617651
75,True,-0.3409060537815094,-0.9997711493947575,0.6588650956132481,0.6588650956132481
76,True,-0.35655710101127625,-0.9997686127587576,0.6432115117474814,0.6432115117474814
77,True,-0.1478426456451416,-0.7285407971139668,0.5806981514688252,0.5806981514688252
