state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,references_agree_on_action,severity_raw_strict,severity_strict
20,0,20,False,0,-50.0,0,2,1,,-2.5132955270383674,0.06418608013019246,-47.486704472961634,0,0.0,0.0,0,-1.5914931640794638,-1.5694695711135864,0.022023592965877414,0,0,0,0,-50.0,1,,-47.486704472961634,0,0.0,0,0,1,0.0,0.0
21,0,21,False,0,-50.0,0,1,1,,-2.494375884342469,0.06582205808735807,-47.50562411565753,0,0.0,0.0,0,-1.6127358916268382,-1.661329984664917,0.04859409303807882,0,0,0,0,-50.0,1,,-47.50562411565753,0,0.0,0,0,1,0.0,0.0
22,0,22,False,0,-50.0,0,2,1,,-2.512048318470671,0.05851904437037644,-47.48795168152933,0,0.0,0.0,0,-1.7275176648790904,-1.7452421188354492,0.0177244539563588,0,0,0,0,-50.0,1,,-47.48795168152933,0,0.0,0,0,1,0.0,0.0
23,0,23,False,0,-50.0,0,1,1,,-2.6005831965056876,0.0025222210795766697,-47.39941680349431,0,0.0,0.0,0,-2.116717358686661,-1.8870494365692139,0.22966792211744735,0,0,0,0,-50.0,1,,-47.39941680349431,0,0.0,0,0,1,0.0,0.0
24,0,24,False,0,-50.0,0,2,1,,-2.6005831965056876,0.0025222210795766697,-47.39941680349431,0,0.0,0.0,0,-2.1272153491239405,-1.66904878616333,0.4581665629606104,0,0,0,0,-50.0,1,,-47.39941680349431,0,0.0,0,0,1,0.0,0.0
25,0,25,False,0,-50.0,0,2,1,,-2.6005831965056876,0.0025222210795766697,-47.39941680349431,0,0.0,0.0,0,-2.158959428074532,-1.7983129024505615,0.3606465256239706,0,0,0,0,-50.0,1,,-47.39941680349431,0,0.0,0,0,1,0.0,0.0
26,0,26,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.947884621083829,-2.222769021987915,0.7251155990959139,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
27,0,27,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9817828797424557,-2.3397653102874756,0.6420175694549801,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
28,0,28,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.981985249102091,-2.2035629749298096,0.7784222741722813,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
29,0,29,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.98218043372216,-2.456254243850708,0.525926189871452,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
30,1,0,True,1,-2.9999989435144254,3,3,0,0.7745966692414834,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000090015486665,-3.130660057067871,0.13065105551920464,1,1,1,3,-4.255455946689682,0,0.7745966692414834,-1.657394971263571,0,0.0,0,0,1,0.0,0.0
31,1,1,True,2,-2.9999989435144254,3,3,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000091827760147,-3.0883820056915283,0.08837282291551363,3,3,3,1,-3.0328265213820993,1,0.7378647873726218,-0.4347655459559885,0,0.0,0,0,0,0.0,0.0
32,1,2,True,2,-2.999998943514425,1,1,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,-0.40193796808831417,0,0.0,0.0,0,-3.0000089748515593,-3.0689897537231445,0.06898077887158527,24,24,24,1,-3.0010017993406817,0,0.9486832980505139,-0.40294082391457087,0,0.0,0,0,1,0.0,0.0
33,1,3,True,4,-0.9205399078954664,1,1,0,0.39999999999999997,-2.598060975426111,2.037621039635e-16,1.6775210675306444,0,0.0,0.0,0,-2.937481770367163,-2.881727695465088,0.05575407490207507,1784,1784,1784,1,-1.0808465537972096,0,0.316227766016838,1.5172144216289012,0,0.0,0,0,1,0.0,0.0
34,1,4,True,2,-0.844441249078721,1,3,1,0.7378647873726218,-2.598060975426111,2.037621039635e-16,1.7536197263473898,1,1.7536197263473898,0.5815865740957648,1,-2.99040017318862,-2.756469488143921,0.23393068504469916,68,115,68,1,-1.0152173268458013,1,0.7378647873726218,1.5828436485803095,1,1.5828436485803095,1,1,1,1.5828436485803095,0.530445205298814
35,1,5,True,4,-0.8691580833214572,2,3,1,-0.19999999999999998,-2.598060975426111,2.037621039635e-16,1.7289028921046536,1,1.7289028921046536,0.5733892558666481,1,-2.9920950571853195,-2.753676652908325,0.23841840427699434,168,365,168,2,-1.0372373374606614,1,-0.316227766016838,1.5608236379654494,1,1.5608236379654494,1,1,1,1.5608236379654494,0.5230658225898788
36,1,6,True,4,-0.8929603865134261,2,3,1,-0.39999999999999997,-2.598060975426111,2.037621039635e-16,1.7051005889126847,1,1.7051005889126847,0.565495241126155,1,-2.9927945811818493,-2.7452800273895264,0.2475145537923229,427,592,427,2,-1.0589423110026652,1,-0.316227766016838,1.5391186644234456,1,1.5391186644234456,1,1,1,1.5391186644234456,0.5157920156306001
37,1,7,True,3,-0.9097882559242538,1,1,0,0.7999999999999999,-2.598060975426111,2.037621039635e-16,1.688272719501857,0,0.0,0.0,0,-2.9932571266511565,-2.8034915924072266,0.18976553424392995,2039,2039,2039,1,-1.0777605991285863,0,0.7999999999999999,1.5203003762975245,0,0.0,0,0,1,0.0,0.0
38,1,8,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999924386454354,-2.79360032081604,0.20632406563831385,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
39,1,9,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999866088983755,-2.6059393882751465,0.39392670070860847,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
