factor,raw_r,partial_r_controlling_coverage
coverage,0.012079069549505364,
goal_distance,-0.05800579494428663,-0.05870181398190875
hazard_distance,-0.08003975774836698,-0.08825250473676963
local_connectivity,-0.02790036702117101,-0.027858609918350742
action_sample_gap,0.1081129776073904,0.10758389393182866
log_n_best_config_action,-0.06922985883025022,-0.23025370954244734
log_pair_min_samples,-0.20404655698297888,-0.434783622141169
pi_beta_prob_gap,0.21592976471343792,0.21838091106611726
