effective_sample_beta,effective_sample_kl_k,prefix,best,best_overall,mean,std,final,csv_path,best_checkpoint_epoch,seconds_per_epoch,status,log_path
0.99995,0.5,beta_kl_k_cross_effective_sample_beta_0_99995_effective_sample_kl_k_0_5,,,,,,,,,"FAILED: Unable to allocate 12.2 MiB for an array with shape (399490, 8) and data type float32",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_99995_effective_sample_kl_k_0_5.log
0.99999,0.02,beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_02,,,,,,,,,"FAILED: Unable to allocate 12.2 MiB for an array with shape (399490, 8) and data type float32",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_02.log
0.99999,0.05,beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_05,,,,,,,,,"FAILED: Unable to allocate 12.2 MiB for an array with shape (399490, 8) and data type float32",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_05.log
0.99999,0.1,beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_1,,,,,,,,,"FAILED: Unable to allocate 12.2 MiB for an array with shape (399490, 8) and data type float32",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_1.log
0.99999,0.2,beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_2,,,,,,,,,"FAILED: Unable to allocate 12.2 MiB for an array with shape (399490, 8) and data type float32",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_2.log
0.99999,0.3,beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_3,,,,,,,,,"FAILED: Unable to allocate 12.2 MiB for an array with shape (399490, 8) and data type float32",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_3.log
0.99999,0.5,beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_5,,,,,,,,,"FAILED: Unable to allocate 12.2 MiB for an array with shape (399490, 8) and data type float32",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_99999_effective_sample_kl_k_0_5.log
0.999,0.02,beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_02,0.4855,0.558,0.434344262295082,0.06554098850996516,0.4475,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_02.csv,,20.705848585764567,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_02.log
0.999,0.05,beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_05,0.48400000000000004,0.552,0.4205245901639344,0.06251176064213225,0.393,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_05.csv,,19.924600222905475,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_05.log
0.999,0.1,beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_1,0.4805,0.552,0.4162049180327869,0.06542529945474586,0.37049999999999994,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_1.csv,,18.894126522541047,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_1.log
0.999,0.5,beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_5,0.47400000000000003,0.552,0.41577868852459016,0.06843643794245408,0.2895,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_5.csv,,17.400511009693147,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_5.log
0.999,0.3,beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_3,0.47400000000000003,0.552,0.4159672131147541,0.06417657080615292,0.4205,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_3.csv,,17.261237556934358,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_3.log
