epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-3.8275200000000025,0.11206835993803078,0.4,0.021908902300206645,0.462,0.022296008611408458,0.194,0.01768411716767337,0.3125,0.0,0.5712270736694336
5,-4.6788000000000025,0.10272519223637412,0.202,0.01795527777562909,0.19,0.017544229820656135,0.202,0.01795527777562909,0.199,0.09021857136730427,0.44185165324935083
10,-4.799220000000003,0.10067340057433254,0.158,0.01631171358257617,0.182,0.01725549187939886,0.09,0.012798437404620925,0.13,0.09630591522074143,0.4325328717470016
15,-3.8735000000000017,0.11213505027421188,0.372,0.021615549958305478,0.478,0.0223390241505756,0.126,0.01484075469779081,0.27549999999999997,0.11399250973462295,0.41619995056933734
20,-3.342800000000003,0.12815234184360436,0.396,0.02187162545399861,0.52,0.022342784070030305,0.124,0.014739335127474372,0.29100000000000004,0.13254562842204431,0.4082292939209923
25,-3.2639400000000025,0.12869950331217297,0.41,0.02199545407578575,0.55,0.022248595461286987,0.126,0.01484075469779081,0.303,0.14440224154074935,0.4066632001122017
30,-3.0291000000000023,0.12803652439831387,0.446,0.022229889788300795,0.536,0.022302645582979612,0.238,0.01904499934365974,0.3645,0.1500217901503406,0.40762672486937557
35,-2.956700000000002,0.12665896975737656,0.468,0.022314838112789438,0.558,0.022209727598509622,0.254,0.019467100451787882,0.3835,0.15834843757765787,0.409301929046984
40,-2.8845400000000017,0.1243119880655121,0.524,0.02233490541730589,0.598,0.021926969694875762,0.366,0.021542701780417423,0.46349999999999997,0.1648063679618915,0.41376874173474115
45,-3.151460000000002,0.12671889258038843,0.466,0.022308921982023246,0.58,0.02207260745811423,0.21,0.01821537811850196,0.3665,0.16817741185751273,0.40922642218081484
50,-2.8808800000000025,0.13219276550250406,0.498,0.02236050088884415,0.592,0.021978898971513564,0.272,0.019900552756142227,0.4085,0.17173613592132705,0.41051225090240684
55,-3.013960000000002,0.13306200899129708,0.474,0.022330427671677047,0.556,0.022219990999098087,0.296,0.02041489652190282,0.40549999999999997,0.17455002957624477,0.40933104288035826
60,-2.888720000000002,0.13243597669515647,0.494,0.02235906974809104,0.592,0.021978898971513564,0.25,0.019364916731037084,0.39649999999999996,0.1745071807478881,0.41147937408477203
65,-2.8271600000000023,0.13105439736536895,0.518,0.022346185356789647,0.596,0.021944657664224338,0.3,0.020493901531919195,0.4285,0.17723071841495608,0.40775182604560634
70,-3.3766600000000015,0.1194128589759077,0.492,0.022357817424784557,0.538,0.022296008611408454,0.304,0.020571047615520213,0.4095,0.17780399953494233,0.4065310164837406
75,-2.8305800000000025,0.1342503084808375,0.522,0.0223390241505756,0.634,0.021542701780417423,0.29,0.020292855885754472,0.43400000000000005,0.17896291979187043,0.40428864764983957
80,-2.6917400000000025,0.13120356376562348,0.522,0.0223390241505756,0.634,0.021542701780417423,0.28,0.020079840636817812,0.42900000000000005,0.18358424087314557,0.40151310110229627
85,-2.6511000000000022,0.13038692718213749,0.536,0.022302645582979612,0.636,0.02151762068631195,0.322,0.020895741192884256,0.45400000000000007,0.18709276290103305,0.4008979769298314
90,-2.6570200000000024,0.1306215856556642,0.532,0.022314838112789434,0.636,0.02151762068631195,0.324,0.020929596269398033,0.45400000000000007,0.19376143405523,0.39936346852344096
95,-2.8496600000000027,0.13132841645584564,0.514,0.022351912669836556,0.596,0.021944657664224338,0.306,0.020608930103234373,0.4305,0.1932664203823262,0.3994200271264931
100,-2.8526600000000024,0.13123604325336857,0.514,0.022351912669836556,0.594,0.021961967125009547,0.306,0.020608930103234373,0.43000000000000005,0.19500928584541136,0.4003266992475802
105,-2.861500000000002,0.13269057502324733,0.5,0.022360679774997897,0.596,0.021944657664224338,0.264,0.019713142824014644,0.406,0.198901522386769,0.39824467103195677
110,-2.663720000000002,0.13062139611564416,0.544,0.022273930950777412,0.636,0.02151762068631195,0.358,0.021439962686534694,0.47400000000000003,0.20028839224542586,0.39747476902319634
115,-2.657300000000002,0.13065758692092866,0.544,0.022273930950777412,0.636,0.02151762068631195,0.358,0.021439962686534694,0.47400000000000003,0.20411856921149857,0.3959741576751939
120,-2.6486600000000027,0.13033204674522694,0.55,0.022248595461286987,0.636,0.02151762068631195,0.346,0.021273645667821018,0.4695,0.20120584992435328,0.3965249829839087
125,-2.7655000000000016,0.12906296409117538,0.55,0.022248595461286987,0.636,0.02151762068631195,0.352,0.02135865164283551,0.4725,0.2005054852677644,0.3966750855403096
130,-2.736840000000002,0.12826458290892315,0.552,0.02223942445298439,0.636,0.02151762068631195,0.342,0.021214900423994452,0.4680000000000001,0.20212234514672967,0.3959782244798696
135,-3.0856800000000026,0.13085513927698839,0.528,0.022325590697672478,0.596,0.021944657664224338,0.336,0.02112363605064242,0.44900000000000007,0.2018767247342819,0.39688017844084666
140,-2.857640000000002,0.13063210348455703,0.546,0.02226584828835407,0.636,0.02151762068631195,0.354,0.021386163751360363,0.4725,0.20331052425845475,0.3960467410499969
145,-2.9265800000000026,0.13143082517887508,0.55,0.022248595461286987,0.636,0.02151762068631195,0.352,0.02135865164283551,0.4725,0.20344268960650344,0.3960822294302127
150,-2.9161800000000024,0.13219040515559374,0.546,0.02226584828835407,0.636,0.02151762068631195,0.354,0.021386163751360363,0.4725,0.2015636164568541,0.3967311884790258
155,-2.9472000000000027,0.1319943980629482,0.54,0.022289010745208053,0.636,0.02151762068631195,0.352,0.02135865164283551,0.47000000000000003,0.2034337579497613,0.3963604134523586
160,-2.937680000000003,0.13177806659380012,0.544,0.022273930950777412,0.636,0.02151762068631195,0.354,0.021386163751360363,0.47200000000000003,0.20183206647920884,0.3975522531713147
165,-2.9191800000000026,0.13222799648788464,0.546,0.02226584828835407,0.636,0.02151762068631195,0.35,0.02133072900770154,0.4705,0.20487467969441397,0.4005281674334974
170,-3.2577400000000023,0.1240448877818027,0.53,0.022320394261750844,0.612,0.021792475765731623,0.354,0.021386163751360363,0.46249999999999997,0.2032058853453203,0.40229580205346743
175,-3.3280000000000025,0.12508211702717548,0.506,0.02235906974809104,0.61,0.02181284025522582,0.298,0.020454632727086544,0.42800000000000005,0.20597627569016244,0.4013624486252713
180,-3.3061200000000026,0.12506760528290298,0.51,0.022356207191739835,0.612,0.021792475765731623,0.298,0.020454632727086544,0.4295,0.20275514494105076,0.4016637554694108
185,-3.3061200000000026,0.12506760528290298,0.51,0.022356207191739835,0.612,0.021792475765731623,0.296,0.02041489652190282,0.4285,0.20872753228536406,0.39980201450851316
190,-3.3091200000000027,0.12500330576108787,0.506,0.02235906974809104,0.61,0.02181284025522582,0.296,0.02041489652190282,0.42700000000000005,0.2059806645164728,0.40123084968362843
195,-3.153000000000002,0.12293509018990478,0.51,0.022356207191739835,0.612,0.021792475765731623,0.298,0.020454632727086544,0.4295,0.20678347368258684,0.4006743240364082
200,-3.1095400000000017,0.12160151634251945,0.508,0.022357817424784557,0.61,0.02181284025522582,0.296,0.02041489652190282,0.4275,0.2108329765827972,0.40034556260939824
205,-3.1095400000000017,0.12160151634251945,0.508,0.022357817424784557,0.61,0.02181284025522582,0.298,0.020454632727086544,0.4285,0.20731436794839708,0.40083957949866855
210,-3.169220000000002,0.12283558760880343,0.508,0.022357817424784557,0.61,0.02181284025522582,0.298,0.020454632727086544,0.4285,0.2099914764418654,0.40052338481942173
215,-3.103920000000002,0.12172785904303099,0.506,0.02235906974809104,0.61,0.02181284025522582,0.296,0.02041489652190282,0.42700000000000005,0.20814258611446615,0.4020585138243334
220,-3.1016400000000015,0.12114548700137376,0.506,0.02235906974809104,0.604,0.02187162545399861,0.298,0.020454632727086544,0.4265,0.20995486436517938,0.4027836563723122
225,-3.163800000000002,0.12269527749673181,0.512,0.022354238971613417,0.606,0.021852414054287,0.298,0.020454632727086544,0.4285,0.21176090585467602,0.40237830963980914
230,-3.1016400000000015,0.12114548700137376,0.506,0.02235906974809104,0.604,0.02187162545399861,0.298,0.020454632727086544,0.4265,0.2108255463731663,0.4022989092080888
235,-3.1662800000000026,0.12278478538972172,0.51,0.022356207191739835,0.606,0.021852414054287,0.298,0.020454632727086544,0.42800000000000005,0.21022027300421356,0.401979913988761
240,-3.1881600000000025,0.12284938920808693,0.506,0.02235906974809104,0.604,0.02187162545399861,0.298,0.020454632727086544,0.4265,0.20856056429689165,0.4025749821719415
245,-3.0088000000000017,0.11986558605371278,0.506,0.02235906974809104,0.604,0.02187162545399861,0.298,0.020454632727086544,0.4265,0.20819090173116178,0.402379621686575
250,-2.9270000000000014,0.11836907197405924,0.532,0.022314838112789434,0.608,0.021832819332372078,0.356,0.021413266915629666,0.463,0.20914354703695173,0.40299097469111117
255,-2.988960000000002,0.11999493421307426,0.51,0.022356207191739835,0.606,0.021852414054287,0.298,0.020454632727086544,0.42800000000000005,0.21052768350143908,0.4030063802580433
260,-2.9753800000000017,0.1197080352825157,0.512,0.022354238971613417,0.608,0.021832819332372078,0.298,0.020454632727086544,0.42900000000000005,0.2087177536680025,0.40310234560712954
265,-3.0008600000000016,0.11987871087394968,0.508,0.022357817424784557,0.606,0.021852414054287,0.3,0.020493901531919195,0.4285,0.20914104463464553,0.40217862000914434
270,-2.9729000000000014,0.11960830899231048,0.514,0.022351912669836556,0.608,0.021832819332372078,0.298,0.020454632727086544,0.4295,0.20802270179563115,0.4026254472023856
275,-2.970720000000002,0.1195177566857746,0.516,0.022349228174592516,0.608,0.021832819332372078,0.306,0.020608930103234373,0.43400000000000005,0.21176614165115173,0.40259234936553495
280,-3.0535200000000016,0.1188798722206582,0.51,0.022356207191739835,0.608,0.021832819332372078,0.292,0.0203340109176719,0.4255,0.21634873324941933,0.4017084029567005
285,-2.874600000000002,0.12254524748026756,0.512,0.022354238971613417,0.606,0.021852414054287,0.302,0.020532705618110828,0.4305,0.21379066211416659,0.4020514578524497
290,-2.970720000000002,0.1195177566857746,0.516,0.022349228174592516,0.608,0.021832819332372078,0.306,0.020608930103234373,0.43400000000000005,0.2146309303175861,0.40109972796098
295,-3.356780000000002,0.11962509629337825,0.448,0.02223942445298439,0.606,0.021852414054287,0.194,0.01768411716767337,0.36050000000000004,0.2129346865308659,0.4011752760845602
300,-3.0778800000000013,0.11905783725232044,0.504,0.022359964221796064,0.606,0.021852414054287,0.286,0.020209106858047932,0.4205,0.21410346240244332,0.4011167186067167
