iteration,success_rate
0,0.0
15,0.08
30,0.08333333333333333
45,0.11333333333333333
60,0.21666666666666667
75,0.09
90,0.09
105,0.08333333333333333
120,0.11666666666666667
135,0.12
150,0.09
165,0.08666666666666667
180,0.27666666666666667
195,0.4
210,0.27
225,0.14333333333333334
240,0.36
255,0.38
270,0.27666666666666667
285,0.38
300,0.3933333333333333
