policy,mean_return,std_return,stderr_return,mean_discounted_return,success_rate,success_rate_stderr,mean_length,n_episodes
random,-5.766366666666673,1.005932966067931,0.05807756687460386,-5.766366666666673,0.02,0.00808290376865476,190.74333333333334,300
optimal (pi*),-0.17110000000000075,0.5035253618240101,0.029071050319289592,-0.17110000000000075,1.0,0.0,40.03666666666667,300
