epoch,mean_return,mean_return_stderr,success_rate,success_rate_stderr,clip_frac,entropy
0,-1.497960000000001,0.033091903493150714,0.348,0.02130239423163509,0.0,0.4188689887523651
5,-0.9281000000000011,0.03902963463831042,0.63,0.021591665058535898,0.09915996900320248,0.3672685399468766
10,-0.07408000000000058,0.026187804550973724,0.898,0.013534843922262271,0.13353282650620452,0.34785229874164086
15,-0.797160000000001,0.03573564983038647,0.692,0.020646355610615643,0.15510551636324296,0.3390509867073567
20,-0.07406000000000057,0.02618812388851099,0.898,0.013534843922262271,0.16830900529565523,0.3385343489496803
25,-0.07044000000000059,0.02590383007973918,0.9,0.013416407864998736,0.17706041923820826,0.33602778380850934
30,-0.797780000000001,0.03572133456633445,0.692,0.020646355610615643,0.1874093866967219,0.33491263178558695
35,-0.07114000000000058,0.02591972609423179,0.9,0.013416407864998736,0.1940029401907839,0.33510314521493234
40,-0.08268000000000059,0.02673804845533795,0.894,0.013766916866168691,0.19762841188702931,0.3355191436490365
45,0.013919999999999422,0.01946922872637743,0.95,0.00974679434480897,0.20023645129197948,0.3366909668227248
50,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.20398501080757073,0.33798364964744054
55,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.20478876583272088,0.33951607790036176
60,0.013919999999999422,0.01946922872637743,0.95,0.00974679434480897,0.20662614784811914,0.34056023964605076
65,-0.036720000000000565,0.022902560625397327,0.92,0.012132600710482479,0.20709032860819862,0.34303543649047297
70,-0.036720000000000565,0.022902560625397327,0.92,0.012132600710482479,0.20699768927091472,0.34490498815124776
75,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.20838852556923423,0.34451827092533316
80,-0.037080000000000564,0.022904544247812485,0.92,0.012132600710482479,0.20991931177023873,0.346906675170507
85,-0.057780000000000574,0.024958304093026837,0.906,0.013050976974924135,0.2105633400545097,0.34740908464640746
90,-0.054860000000000575,0.02467268045430006,0.908,0.012925633446759966,0.21157889613974612,0.34963028404621055
95,-0.057780000000000574,0.024958304093026837,0.906,0.013050976974924135,0.21347351799904082,0.3565513410971775
100,-0.05416000000000057,0.024655056049419154,0.908,0.012925633446759966,0.2173915462521189,0.35731505619046733
105,-0.057780000000000574,0.024958304093026837,0.906,0.013050976974924135,0.2218590191491588,0.36123847298610434
110,-0.054860000000000575,0.02467268045430006,0.908,0.012925633446759966,0.22472476045420592,0.3599982513137655
115,-0.054860000000000575,0.02467268045430006,0.908,0.012925633446759966,0.22254414366632821,0.36058923321869757
120,-0.057780000000000574,0.024958304093026837,0.906,0.013050976974924135,0.22581711870816917,0.36099630250661763
125,-0.054860000000000575,0.02467268045430006,0.908,0.012925633446759966,0.22613943250619867,0.3650597320261883
130,-0.054860000000000575,0.02467268045430006,0.908,0.012925633446759966,0.22647320448085118,0.36504892111799314
135,-0.05416000000000057,0.024655056049419154,0.908,0.012925633446759966,0.22774222990283202,0.36427958162222746
140,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.227970453784881,0.36547277886070195
145,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.2276310259240237,0.3650863830758623
150,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.2313972068486015,0.3654223693167686
155,-0.037080000000000564,0.022904544247812485,0.92,0.012132600710482479,0.22999444586862236,0.366845390880488
160,0.017539999999999424,0.019051705876377584,0.952,0.009559916317625384,0.23156773800354752,0.36635143376234997
165,0.016839999999999425,0.01907977014536601,0.952,0.009559916317625384,0.23028146572417152,0.37080903518229164
170,0.013919999999999422,0.01946922872637743,0.95,0.00974679434480897,0.23446963812762953,0.37296488184180304
175,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.23679137616155582,0.3744387834021427
180,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.23733205263573717,0.3733687081106939
185,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.23702236839424656,0.37421039836092845
190,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.23774291963627955,0.3729280384953453
195,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.2382353525593548,0.3763874478741737
200,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.2380672560689494,0.3742653491403466
205,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.2399017641706147,0.3755730760214471
210,0.016839999999999425,0.01907977014536601,0.952,0.009559916317625384,0.23901557829764078,0.37327377706498077
215,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.24125688089909167,0.3740062908081373
220,0.016839999999999425,0.01907977014536601,0.952,0.009559916317625384,0.24112869566420697,0.37545383956134076
225,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.23962826599181916,0.37682538478957367
230,-0.036720000000000565,0.022902560625397327,0.92,0.012132600710482479,0.2433190680583383,0.3743695873563054
235,0.013919999999999422,0.01946922872637743,0.95,0.00974679434480897,0.24316183044495196,0.3736525020780665
240,-0.07114000000000058,0.02591972609423179,0.9,0.013416407864998736,0.24374808769487302,0.3737850255490519
245,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.24403043575006145,0.37452847815788093
250,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.24320244656316783,0.3757450931011802
255,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.2412640009858232,0.37347640466319665
260,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.24316483716543638,0.37522628452577067
265,-0.036720000000000565,0.022902560625397327,0.92,0.012132600710482479,0.24280874812495776,0.3749869653706851
270,0.016839999999999425,0.01907977014536601,0.952,0.009559916317625384,0.2443432731162498,0.37432888559601096
275,-0.750600000000001,0.03494714981225222,0.732,0.0198078772209442,0.24501547525626952,0.37296343907311813
280,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.2437540227920426,0.37598657427707466
285,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.24365033729585195,0.37621517712136127
290,-0.036720000000000565,0.022902560625397327,0.92,0.012132600710482479,0.24338208298554503,0.37491320723017413
295,-0.03778000000000057,0.02292455764458717,0.92,0.012132600710482479,0.2437342731853245,0.37451812015726055
300,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.2429359356643524,0.37557764576773905
