epoch,policy_loss,value_loss,entropy,approx_kl,clip_frac
0,-0.003633003366729572,0.016976085077599606,0.41089805113859873,0.004464386022559848,0.05457864191538471
1,-0.006037913486060709,0.01671070864752319,0.40341322773417193,0.0048620731446843285,0.06362753851873798
2,-0.007377357695796942,0.016567283809354082,0.3975658492655025,0.006034532786637867,0.07806088777223963
3,-0.007997632823493835,0.016446464823921404,0.39374269367190334,0.007351325324261355,0.08567918417023423
4,-0.00854948424305447,0.01633501908523339,0.3909523267899004,0.008356403092262035,0.09407105599625229
5,-0.008818255875161404,0.016221630696560622,0.3880229991718286,0.00950177692528738,0.09910607412274705
6,-0.00909023820795728,0.016122275374019526,0.38691405629097975,0.010377453310846923,0.1061638552369588
7,-0.009369712511518436,0.01602414147913127,0.38513714757398415,0.011186422076904788,0.11151666039462374
8,-0.009573559345342812,0.015937275158238347,0.38325949616346416,0.011697569448319633,0.11592178766783982
9,-0.009877631321059385,0.015853822682104633,0.3831258302985501,0.0122546785040275,0.11612784501868784
10,-0.010062823854714254,0.015748046424037314,0.3828993691641682,0.012884333317673698,0.12141225680111864
11,-0.010262350118201216,0.0156660840109079,0.3825781629257093,0.013324195542125274,0.12280961251280781
12,-0.010264851940199519,0.015588834124464216,0.38256482337696673,0.013933725262236669,0.12906694669468374
13,-0.010350057351511835,0.015493553585105577,0.38318734565477147,0.01426232206433949,0.1303030658796588
14,-0.010418910366324639,0.015421182196282721,0.3835532101128595,0.014884683288780794,0.1353623913273593
15,-0.010513914314063247,0.015350018421382942,0.3840568133265097,0.015343395635015038,0.13808586777401868
16,-0.010532627955729405,0.015288583551269278,0.3838373853330815,0.015746144770522004,0.1404650380723757
17,-0.010567014657567503,0.015228999732176446,0.3840231816981137,0.015849247079826923,0.1422444879825936
18,-0.010740052230822916,0.01517501611031062,0.38332930991908903,0.016021188563276584,0.14584313273332397
19,-0.010799861923006736,0.015132389562120714,0.3836617958735757,0.016404043145185353,0.14735258550353453
20,-0.010928519053680887,0.01508208388159583,0.38379006728663956,0.01644137729007297,0.14813420588938017
21,-0.01098098543437178,0.01502986760956227,0.38267838299420653,0.01656882939685078,0.14973117099223524
22,-0.011095725781115218,0.015002157824123103,0.3837557727210559,0.01633132718692805,0.1502396602271915
23,-0.011227922805357277,0.014961292311923847,0.38383871810366066,0.01677216509035739,0.1499777230405944
24,-0.011248014964873789,0.014943458017674584,0.3847124758599142,0.01673416352967137,0.15057662619203208
25,-0.011591375641237705,0.014905607506392169,0.38568752026908826,0.018083863713040275,0.15228281676379365
26,-0.011637744012034407,0.014888073325131274,0.3856291030750641,0.018443171976466197,0.15628238226411192
27,-0.011605217991800764,0.01486348971695573,0.3855945856378201,0.018508092935089683,0.15813458916820275
28,-0.011746202069235689,0.014852085934749341,0.3852189844222899,0.01858397226156979,0.16046042882899036
29,-0.011751415186755067,0.014831997811503385,0.3851869839166679,0.01873356711655514,0.16165914234818735
