min_prior_error,n,ols_coef,ols_ci95_low,ols_ci95_high,wls_coef,wls_ci95_low,wls_ci95_high
0.001,351,49.15723536918941,22.19597253750344,76.11849820087538,-0.10712188797777869,-0.35953283442285267,0.1452890584672953
0.011,278,4.442607706951969,1.5697689360459668,7.315446477857971,-0.11817261642677132,-0.3430168934984982,0.10667166064495551
0.020999999999999998,258,0.8056121940377021,-0.11204846488206288,1.723272852957467,-0.13295148863159323,-0.3312463619924306,0.06534338472924414
0.030999999999999996,247,0.6241863693291981,-0.2594454685081746,1.507818207166571,-0.13613049045186226,-0.3367512124524621,0.06449023154873756
0.040999999999999995,235,0.515221709079436,-0.1803290565452409,1.2107724747041129,-0.1396558985256679,-0.3371756928709331,0.057863895819597305
0.05099999999999999,227,0.36741126206750174,-0.2570068574894431,0.9918293816244466,-0.14402892651318386,-0.3409242750058855,0.05286642197951777
0.06099999999999999,213,-0.31323869244723423,-0.7235274742925966,0.09705008939812809,-0.1681047523073289,-0.359087669435186,0.022878164820528152
0.071,206,-0.21830180355212764,-0.6440669199528557,0.20746331284860037,-0.16357611481891013,-0.35801665174936415,0.030864422111543915
0.08099999999999999,198,-0.49076207939672073,-0.8594573707590307,-0.12206678803441068,-0.17653157417297957,-0.3710374331532721,0.017974284807312918
0.09099999999999998,193,-0.5907338034067242,-0.8984578376537935,-0.2830097691596549,-0.18060160365944836,-0.37382369328985765,0.012620485970960965
0.10099999999999998,189,-0.5345699859222229,-0.8486107718639162,-0.22052919998052967,-0.1746208386333726,-0.3700050998063693,0.0207634225396241
0.11099999999999999,185,-0.4769073843104276,-0.7962478625608309,-0.15756690606002438,-0.1683850081327978,-0.36594052760692897,0.029170511341333333
0.12099999999999998,177,-0.32204006538675106,-0.6539371507779205,0.009857020004418349,-0.1507021845471937,-0.3529377024455358,0.051533333351148375
0.13099999999999998,172,-0.37946088841624254,-0.7153698908990673,-0.0435518859334178,-0.15455061547586132,-0.3595766090867525,0.050475378135029864
0.141,170,-0.5032535773369814,-0.8003060352931792,-0.20620111938078356,-0.1661677442647015,-0.3680907346187703,0.03575524608936728
0.15099999999999997,165,-0.5296567392677615,-0.81792690275585,-0.24138657577967293,-0.16536403073192585,-0.3693233222090517,0.03859526074519998
0.16099999999999998,162,-0.4819564689349712,-0.7765578243643647,-0.1873551135055777,-0.1556150792394509,-0.36181071180136304,0.05058055332246125
0.17099999999999999,161,-0.4573671445523427,-0.7532854134294771,-0.16144887567520827,-0.1504870671789776,-0.3573210274205456,0.056346893062590414
0.18099999999999997,159,-0.40201689065693097,-0.6989668846409666,-0.10506689667289537,-0.1389034509031926,-0.3467148880219725,0.06890798621558727
0.19099999999999998,157,-0.3621371622019201,-0.6624838914314608,-0.06179043297237935,-0.12860619921990465,-0.33797650962395354,0.08076411118414425
0.20099999999999996,155,-0.3324024227349348,-0.636765054574787,-0.028039790895082572,-0.1196228312079108,-0.3307772422430643,0.0915315798272427
0.21099999999999997,150,-0.22753774323856008,-0.5369189666351195,0.0818434801579993,-0.09574995169860909,-0.3102056333966381,0.11870572999941989
0.22099999999999997,149,-0.19409573732998628,-0.503669238504704,0.11547776384473143,-0.08680050311802556,-0.30177183593338797,0.12817082969733684
0.23099999999999996,147,-0.12248425017908246,-0.43111283272647416,0.1861443323683092,-0.0669685501438135,-0.28269618820252573,0.1487590879148987
0.24099999999999996,144,-0.05381126729821934,-0.36637233938321595,0.2587498047867773,-0.050309184925864614,-0.2685723198634068,0.16795395001167757
0.25099999999999995,143,-0.00847686718989406,-0.31794513506881084,0.30099140068902275,-0.03996443426389285,-0.2580545811376188,0.1781257126098331
0.26099999999999995,141,-0.017056523132712005,-0.327277170888956,0.29316412462353203,-0.0411168643409313,-0.26011764569196877,0.1778839170101062
0.27099999999999996,137,0.05558389783740006,-0.25924937328787745,0.3704171689626775,-0.017131609265204968,-0.2403015507882846,0.20603833225787468
0.28099999999999997,131,0.09212279492380374,-0.2159514623904276,0.40019705223803503,-0.007731948860980563,-0.2325188442485386,0.2170549465265775
0.291,130,0.0002332400473458742,-0.2851031596353765,0.28556963973006827,-0.035738736319301134,-0.2536807942138998,0.18220332157529748
