epoch,frac_agree,mean_prob_pi_d_star_action
0,0.3055555555555556,0.3652847201252977
5,0.3055555555555556,0.336804009220537
10,0.25,0.3249318680423635
15,0.25,0.3178197828448093
20,0.2222222222222222,0.3160912257056528
25,0.3055555555555556,0.322492830833653
30,0.3055555555555556,0.3307262726949476
35,0.2777777777777778,0.30252375693008715
40,0.25,0.3020705895873511
45,0.25,0.29551010510961834
50,0.2222222222222222,0.30814048492013374
55,0.16666666666666666,0.28732637556580204
60,0.2222222222222222,0.2995639880084329
65,0.25,0.2982302302843891
70,0.2222222222222222,0.2934197779201592
75,0.2222222222222222,0.2814604373415932
80,0.2222222222222222,0.2838200890950652
85,0.1388888888888889,0.28197398791477707
90,0.16666666666666666,0.2823194312416793
95,0.16666666666666666,0.2831531263283169
100,0.16666666666666666,0.24816754048919798
105,0.1388888888888889,0.2445109187538037
110,0.1388888888888889,0.24502132952329703
115,0.16666666666666666,0.23659091569425073
120,0.1388888888888889,0.23434323708513854
125,0.19444444444444445,0.2325515379594031
130,0.1388888888888889,0.23308698202486589
135,0.08333333333333333,0.2264627482840701
140,0.1111111111111111,0.22308428281070924
145,0.027777777777777776,0.21923765146008614
150,0.027777777777777776,0.2087103212268428
155,0.0,0.2122103519035995
160,0.027777777777777776,0.20510354495167527
165,0.027777777777777776,0.20821461909832173
170,0.08333333333333333,0.20695897049235
175,0.05555555555555555,0.206451341248693
180,0.05555555555555555,0.2114940624701881
185,0.08333333333333333,0.21460881601928528
190,0.027777777777777776,0.20434523957697415
195,0.08333333333333333,0.207766351661121
200,0.05555555555555555,0.21740040760131604
205,0.05555555555555555,0.22177076468263598
210,0.05555555555555555,0.22564843309939736
215,0.08333333333333333,0.22712853971137925
220,0.08333333333333333,0.22400054567939756
225,0.1111111111111111,0.22957049119819808
230,0.1388888888888889,0.23336121136607188
235,0.08333333333333333,0.22476521134376526
240,0.08333333333333333,0.22923697931562653
245,0.08333333333333333,0.23120914003407556
250,0.05555555555555555,0.2225525606950719
255,0.08333333333333333,0.2251614882601037
260,0.1111111111111111,0.2309205403903939
265,0.08333333333333333,0.23072915378401782
270,0.1111111111111111,0.22824054557390305
275,0.08333333333333333,0.22561518309359802
280,0.1111111111111111,0.23268598447450334
285,0.05555555555555555,0.22233729590758836
290,0.1388888888888889,0.23185896794247027
295,0.1388888888888889,0.236149073327801
300,0.1111111111111111,0.23411566886029
