state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,goal_distance,start_distance,hazard_distance,local_connectivity
103,3,13,True,0.0740543779031296,3,3,0,0.948683298050514,0.92804330398992,0.0489496885194691,-0.8539889260867902,0,0.0,-0.4086464649065113,-0.3933848738670349,0.0152615910394763,8261,9.01942196795671,54,20,30,2
104,3,14,True,0.0860792923671301,3,3,0,1.0,0.928548189878707,0.0484457213038787,-0.8424688975115769,0,0.0,-0.3748873905723694,-0.367435872554779,0.0074515180175904,3582,8.183955717304954,53,21,29,2
105,3,15,True,0.0984215744372217,3,3,0,1.0,0.928548189878707,0.0484457213038787,-0.8301266154414854,0,0.0,-0.3670621147491872,-0.3340957164764404,0.0329663982727468,3803,8.24380842366528,52,22,28,2
106,3,16,True,0.1107333343610088,1,1,0,1.0,0.9344501200452388,0.0425561453947816,-0.82371678568423,0,0.0,-0.3598788045077449,-0.3196269571781158,0.040251847329629,12018,9.39424400995279,51,23,27,2
107,3,17,True,-0.9999989913057308,0,0,0,0.7745966692414834,0.935019721247716,0.0419879200928082,-1.9350187125534464,0,0.0,-0.537315612441952,-0.2034194767475128,0.3338961356944392,1,0.6931471805599453,46,34,16,2
110,3,20,True,-0.9999989913057302,3,0,1,-0.1999999999999999,-0.8660203251420379,0.0,-0.1339786661636923,0,0.0,-0.9999876016677344,-0.1774848401546478,0.8225027615130867,13,2.6390573296152584,51,37,13,2
123,4,3,True,-0.1002431482871545,0,0,0,0.3999999999999999,0.8508326542598276,0.1011343161855003,-0.951075802546982,0,0.0,-0.7540346191209741,-0.7362136840820312,0.0178209350389428,882,6.78332520060396,59,7,25,2
124,4,4,True,-0.3602392699033599,1,0,1,-0.1054092553389459,0.9219213511809912,0.0550618414717827,-1.2821606210843512,0,0.0,-0.9678732519267323,-0.6506583094596863,0.317214942467046,515,6.246106765481563,58,8,24,3
125,4,5,True,-0.3674245398774288,2,2,0,0.3999999999999999,0.8508326542598276,0.1011343161855003,-1.2182571941372564,0,0.0,-0.978293413649758,-0.7434723973274231,0.2348210163223349,681,6.525029657843462,57,9,23,2
126,4,6,True,-0.0510221722660723,3,3,0,0.948683298050514,0.9223643991626173,0.0546194290293436,-0.9733865714286896,0,0.0,-0.6242874043841083,-0.5648267865180969,0.0594606178660114,1995,7.59890045687141,52,12,20,3
