factor,raw_r,partial_r_controlling_coverage,partial_r_controlling_coverage_and_prior_pref
coverage,0.06306148433579739,,
pi_beta_prob_gap,0.029896723018781664,0.02989015789114091,
goal_distance,0.12117573667330676,0.11892301463203997,0.12068522912591449
hazard_distance,0.02582925876424483,0.01826260260599549,0.01958159133320918
local_connectivity,-0.018434149364550265,-0.022588214441322262,-0.02666552052101325
action_sample_gap,-0.12204143713932539,-0.12174025672281026,-0.2712111036885433
log_n_best_config_action,-0.07645923503555602,-0.29644628261314093,-0.3480954182910463
log_pair_min_samples,-0.13780356390861692,-0.34793339885830415,-0.3473798156568611
