epoch,frac_agree,mean_prob_pi_d_star_action
0,0.2962962962962963,0.36066963619722864
5,0.2962962962962963,0.3324239175348238
10,0.24074074074074073,0.320565637965699
15,0.25925925925925924,0.3167319245721029
20,0.2777777777777778,0.3245965752088506
25,0.25925925925925924,0.30726155686055856
30,0.24074074074074073,0.2966374945178056
35,0.2037037037037037,0.26217870882473343
40,0.18518518518518517,0.2573286234645888
45,0.18518518518518517,0.2579272821455763
50,0.14814814814814814,0.2646625409660104
55,0.14814814814814814,0.25939004807073446
60,0.14814814814814814,0.26678595244391934
65,0.16666666666666666,0.2655817547064948
70,0.16666666666666666,0.25937773880312526
75,0.16666666666666666,0.2554681217388693
80,0.18518518518518517,0.2607549335836473
85,0.12962962962962962,0.25590373085665635
90,0.14814814814814814,0.25956610253442586
95,0.2037037037037037,0.27354732055114384
100,0.18518518518518517,0.24053898444010555
105,0.18518518518518517,0.2452473641905614
110,0.18518518518518517,0.24167114463387201
115,0.16666666666666666,0.23038784535234616
120,0.14814814814814814,0.22713713730346516
125,0.14814814814814814,0.2249580431585635
130,0.12962962962962962,0.21898616904455825
135,0.07407407407407407,0.21860092835667636
140,0.1111111111111111,0.2174062526543768
145,0.037037037037037035,0.21174193983566741
150,0.037037037037037035,0.2024086054507712
155,0.0,0.2008779251174042
160,0.018518518518518517,0.19454910845769594
165,0.018518518518518517,0.19377704999944784
170,0.05555555555555555,0.19392854302752963
175,0.037037037037037035,0.20018181043364364
180,0.037037037037037035,0.19970654458714987
185,0.05555555555555555,0.2037602815156408
190,0.018518518518518517,0.1937965722562111
195,0.09259259259259259,0.19958291370170572
200,0.037037037037037035,0.19920954407446878
205,0.05555555555555555,0.20413056885517133
210,0.07407407407407407,0.2052180805033864
215,0.05555555555555555,0.20721551412222314
220,0.09259259259259259,0.206110311888699
225,0.09259259259259259,0.2114562027821777
230,0.1111111111111111,0.21512886628962913
235,0.07407407407407407,0.20701849823178897
240,0.07407407407407407,0.2105268248526197
245,0.07407407407407407,0.21430603083900926
250,0.07407407407407407,0.2099574852972942
255,0.07407407407407407,0.20723653686278315
260,0.09259259259259259,0.21534535429524745
265,0.07407407407407407,0.21411125359541086
270,0.09259259259259259,0.2132955077954577
275,0.07407407407407407,0.21414747149924288
280,0.1111111111111111,0.21861442478000015
285,0.07407407407407407,0.20890903508179207
290,0.1111111111111111,0.21746995336501207
295,0.1111111111111111,0.2231771701838799
300,0.09259259259259259,0.2172449932568704
