epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-4.272060000000002,0.10674041368104221,0.306,0.020608930103234373,0.33,0.02102855201862458,0.23,0.01882020191177555,0.274,0.030679375277193766,0.5494159062385253
10,-4.412660000000003,0.10674698613450416,0.256,0.01951737687293044,0.296,0.02041489652190282,0.23,0.01882020191177555,0.253,0.03534847299623841,0.5375709348691724
15,-4.530580000000003,0.09623714317871257,0.266,0.019760769215797242,0.344,0.02124448163641561,0.162,0.016477621187537962,0.23349999999999999,0.044907418816498956,0.5352180164491115
20,-3.938720000000003,0.11363084406621304,0.34,0.021184900282984576,0.42,0.02207260745811423,0.23,0.01882020191177555,0.305,0.05070086513824336,0.5312771958696926
25,-4.122300000000003,0.10997303042109928,0.35,0.02133072900770154,0.424,0.02210085971178497,0.23,0.01882020191177555,0.3085,0.05615860456809602,0.5312010598518694
30,-3.3010200000000025,0.12839629558207677,0.402,0.021926969694875762,0.458,0.022281651644346298,0.244,0.019207498535728174,0.337,0.05872583834360151,0.5348211064085144
35,-3.7899600000000024,0.1143849955055296,0.372,0.021615549958305478,0.472,0.022325590697672478,0.23,0.01882020191177555,0.326,0.06692074391511219,0.5377910097847376
40,-3.552020000000003,0.120188676002359,0.394,0.021852414054287,0.474,0.022330427671677047,0.252,0.019416281827373642,0.34299999999999997,0.06991908385929659,0.537002551696913
45,-3.757740000000002,0.11453737112750594,0.378,0.02168483340955148,0.482,0.022346185356789647,0.23,0.01882020191177555,0.33,0.07028709099288555,0.5322979630605293
50,-3.2435600000000027,0.1282913724799919,0.412,0.02201163328787757,0.518,0.022346185356789647,0.23,0.01882020191177555,0.3475,0.07002152836166231,0.5362460685990545
55,-3.7970000000000024,0.11439322182716957,0.37,0.021591665058535898,0.47,0.022320394261750844,0.234,0.018933779337469845,0.327,0.0725136130695004,0.5371697414272646
60,-3.5447800000000025,0.12038189358537282,0.392,0.021832819332372078,0.48,0.022342784070030305,0.246,0.019260529587734602,0.34099999999999997,0.07198576017746476,0.5433952347885562
65,-3.5722800000000023,0.12017922284321872,0.39,0.02181284025522582,0.464,0.022302645582979615,0.244,0.019207498535728174,0.3355,0.07431276333038048,0.5642597587119303
70,-3.5397200000000026,0.12028158231084268,0.394,0.021852414054287,0.48,0.022342784070030305,0.25,0.019364916731037084,0.3435,0.11445888052625888,0.5873342961702952
75,-3.5342000000000025,0.12035250525020251,0.394,0.021852414054287,0.484,0.022349228174592516,0.25,0.019364916731037084,0.34450000000000003,0.11959146165087924,0.582156665923884
80,-2.9893000000000027,0.13143437685780698,0.434,0.02216501748251059,0.514,0.022351912669836556,0.256,0.01951737687293044,0.365,0.11448413554118429,0.5786264672789492
85,-3.048740000000003,0.13240429156488856,0.418,0.02205792374635473,0.502,0.02236050088884415,0.254,0.019467100451787882,0.357,0.11189618957283251,0.5768080908545006
90,-2.9911200000000027,0.13230523153375315,0.426,0.02211442967837968,0.528,0.022325590697672478,0.24,0.019099738218101316,0.3585,0.11157284069908956,0.5747469146995495
95,-3.5089800000000024,0.12019647548576466,0.402,0.021926969694875762,0.486,0.022351912669836556,0.252,0.019416281827373642,0.348,0.1100516880860625,0.5731482152599772
100,-3.022980000000003,0.13216673499485423,0.426,0.02211442967837968,0.522,0.0223390241505756,0.248,0.019313000802568203,0.361,0.1151895050023856,0.574568432771877
105,-2.969320000000003,0.13200951130581473,0.434,0.02216501748251059,0.528,0.022325590697672478,0.248,0.019313000802568203,0.3645,0.11555477874180509,0.5753226904132899
110,-3.5543800000000023,0.12026157337736783,0.392,0.021832819332372078,0.474,0.022330427671677047,0.254,0.019467100451787882,0.3435,0.11388020961999434,0.5766838736674634
115,-3.684580000000002,0.11556420227388768,0.386,0.0217717247823869,0.488,0.022354238971613417,0.208,0.018151363585141474,0.3225,0.11190111738493014,0.5767664022357093
120,-2.981880000000003,0.1314340630552066,0.438,0.02218810492133116,0.52,0.022342784070030305,0.286,0.020209106858047932,0.38249999999999995,0.1138863693767637,0.5754526024403899
125,-3.5145800000000027,0.12030109578553316,0.4,0.021908902300206645,0.492,0.022357817424784557,0.248,0.019313000802568203,0.347,0.113817649562339,0.5746760904445318
130,-3.5145800000000027,0.12030109578553316,0.4,0.021908902300206645,0.492,0.022357817424784557,0.248,0.019313000802568203,0.347,0.11229187712636535,0.5745673737489284
135,-3.306800000000003,0.12833898363318927,0.4,0.021908902300206645,0.52,0.022342784070030305,0.152,0.016055902341506688,0.306,0.11575693435236707,0.5760406054876158
140,-3.577820000000002,0.12006808941263297,0.388,0.021792475765731623,0.474,0.022330427671677047,0.246,0.019260529587734602,0.3385,0.11114492990472698,0.5738847608141682
145,-3.5118400000000025,0.11994923771662754,0.404,0.021944657664224338,0.486,0.022351912669836556,0.284,0.020166506886419373,0.3645,0.11665856915070871,0.5749397162135635
150,-2.969560000000003,0.13199818639966243,0.434,0.02216501748251059,0.528,0.022325590697672478,0.242,0.019153902996517445,0.3615,0.1124173052284406,0.5720545478847682
155,-3.1340200000000027,0.1284500964546155,0.428,0.022127629787213995,0.526,0.022330427671677047,0.258,0.019567115270269147,0.3675,0.11522642506344971,0.5772552881616572
160,-3.7397400000000025,0.11482832518503448,0.384,0.02175058619899703,0.484,0.022349228174592516,0.202,0.01795527777562909,0.318,0.11353095125199357,0.5771121880246003
165,-3.5770200000000023,0.119497281304639,0.396,0.02187162545399861,0.466,0.022308921982023246,0.264,0.019713142824014644,0.34750000000000003,0.1182724646436412,0.584286957387356
170,-3.5956600000000027,0.11934122644249985,0.392,0.021832819332372078,0.468,0.022314838112789438,0.252,0.019416281827373642,0.341,0.11878022132471232,0.5850566179992143
175,-3.754800000000003,0.11943572128973821,0.36,0.02146625258399798,0.406,0.021961967125009547,0.252,0.019416281827373642,0.3175,0.12141563593482146,0.5865578139767594
180,-3.136380000000002,0.12855799543863472,0.426,0.02211442967837968,0.52,0.022342784070030305,0.214,0.01834142851579451,0.34349999999999997,0.12109251804816883,0.5873289991845541
185,-3.929760000000003,0.1128834792376636,0.348,0.02130239423163509,0.474,0.022330427671677047,0.148,0.015880554146502572,0.27949999999999997,0.1266491216184389,0.5914700892703186
190,-3.2344400000000024,0.12830503564864484,0.418,0.02205792374635473,0.492,0.022357817424784557,0.252,0.019416281827373642,0.3535,0.1283093693067751,0.5887353908244346
