epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-3.912380000000003,0.11331302604378735,0.352,0.02135865164283551,0.426,0.02211442967837968,0.224,0.018645321128905237,0.3065,0.05139387658368235,0.5350841335727953
10,-3.898300000000003,0.11333107702655978,0.356,0.021413266915629666,0.426,0.02211442967837968,0.252,0.019416281827373642,0.3215,0.09523981484100652,0.5719106794549135
15,-3.5458600000000025,0.12025520413187957,0.404,0.021944657664224338,0.476,0.02233490541730589,0.276,0.01999119806314769,0.358,0.1527826328696844,0.5803989252931104
20,-3.5268800000000025,0.11792285160731157,0.43,0.022140460699813815,0.518,0.022346185356789647,0.268,0.0198078772209442,0.371,0.15416153353769607,0.5794984977799758
25,-3.2451400000000024,0.12523812662603998,0.44,0.022199099080818574,0.556,0.022219990999098087,0.272,0.019900552756142227,0.385,0.14975191568770826,0.5780650769037593
30,-3.226300000000002,0.12576406251389952,0.44,0.022199099080818574,0.556,0.022219990999098087,0.272,0.019900552756142227,0.385,0.15533439024643284,0.5810485851451573
35,-3.2503600000000024,0.12653766451456272,0.428,0.022127629787213995,0.562,0.022188104921331157,0.156,0.01622738426241272,0.3255,0.16045326590633485,0.5870111802691912
40,-3.2512400000000024,0.12726240970844466,0.424,0.02210085971178497,0.562,0.022188104921331157,0.156,0.01622738426241272,0.3245,0.15858516483678028,0.593313978544647
45,-3.0919400000000024,0.12684026203378806,0.448,0.02223942445298439,0.562,0.022188104921331157,0.228,0.018762515822778138,0.3665,0.1593289943000279,0.5930505459084104
50,-3.7712200000000022,0.11269305490224331,0.392,0.021832819332372078,0.524,0.02233490541730589,0.156,0.01622738426241272,0.307,0.1621667955125623,0.5939001444820255
55,-3.6803200000000023,0.12213684045037364,0.368,0.021567382780485908,0.458,0.022281651644346298,0.24,0.019099738218101316,0.3265,0.16698330397372213,0.6054597675303937
60,-3.549140000000002,0.12137262179256088,0.406,0.021961967125009547,0.504,0.022359964221796064,0.24,0.019099738218101316,0.34750000000000003,0.1712873589431224,0.6086241208078921
65,-3.8749200000000026,0.1144701864556882,0.354,0.021386163751360363,0.438,0.02218810492133116,0.196,0.01775297158224504,0.29600000000000004,0.1781965687078669,0.6128055590379704
70,-4.038560000000002,0.11127508909365126,0.334,0.02109236828807993,0.408,0.021978898971513564,0.158,0.01631171358257617,0.2645,0.1809971418749591,0.6102599121300858
75,-3.8459200000000027,0.11459472722250369,0.362,0.021492138097453217,0.442,0.022209727598509622,0.242,0.019153902996517445,0.322,0.18399032302234206,0.6145865511313835
80,-3.912940000000003,0.11499493863992462,0.338,0.02115447943108031,0.432,0.022152923057691506,0.158,0.01631171358257617,0.2715,0.1843656063709864,0.6125812920754266
85,-3.930660000000003,0.11530338212212173,0.336,0.02112363605064242,0.482,0.022346185356789647,0.102,0.013534843922262273,0.2555,0.1829262630611868,0.610671423743124
90,-3.841900000000003,0.1147966601430548,0.362,0.021492138097453217,0.534,0.022308921982023246,0.104,0.013651666564928987,0.276,0.18675008777965726,0.6089306943772467
95,-4.014860000000003,0.11585335368818644,0.304,0.020571047615520213,0.436,0.02217674457624473,0.102,0.013534843922262273,0.236,0.18805657277536422,0.6058173424765363
100,-4.033240000000004,0.11599078155094923,0.296,0.02041489652190282,0.434,0.02216501748251059,0.056,0.010282412168358162,0.2105,0.18914669621342042,0.6072613056236013
105,-4.0428400000000035,0.11590769029188712,0.302,0.020532705618110828,0.436,0.02217674457624473,0.114,0.014212951839783319,0.2415,0.19011073707961487,0.6036670933848081
110,-3.968440000000003,0.11503057651250831,0.32,0.020861447696648473,0.454,0.022265848288354075,0.108,0.013880633991284405,0.2475,0.19053037070372714,0.6036035387963534
115,-3.8803000000000027,0.11730241694014676,0.326,0.020963015050321363,0.466,0.022308921982023246,0.108,0.013880633991284405,0.252,0.19501794800210046,0.5989097841728352
120,-3.7078000000000024,0.11537417700681564,0.386,0.0217717247823869,0.448,0.02223942445298439,0.32,0.020861447696648473,0.36850000000000005,0.19871172479793553,0.5974610481867035
125,-3.728800000000003,0.11680372391323841,0.374,0.021639038795658184,0.536,0.022302645582979612,0.12,0.014532721699667961,0.2875,0.1958682258051989,0.6006367043147555
130,-3.4643200000000025,0.11666297902591045,0.434,0.02216501748251059,0.51,0.022356207191739835,0.32,0.020861447696648473,0.396,0.19985555364373858,0.5968921543465907
135,-3.636380000000003,0.11628967878191093,0.394,0.021852414054287,0.462,0.022296008611408458,0.32,0.020861447696648473,0.374,0.19787303503891507,0.5981888650778697
140,-3.6567400000000023,0.11618460803738172,0.392,0.021832819332372078,0.458,0.022281651644346298,0.322,0.020895741192884256,0.37350000000000005,0.19827984866234524,0.5950679933314595
145,-3.6417800000000025,0.11584443906895152,0.4,0.021908902300206645,0.458,0.022281651644346298,0.332,0.02106067425321421,0.38050000000000006,0.20079349252484227,0.5947408789934675
150,-3.5559200000000026,0.11802945186350747,0.4,0.021908902300206645,0.464,0.022302645582979615,0.32,0.020861447696648473,0.376,0.2033732383106856,0.5939536768224741
155,-3.7006200000000025,0.11480020745277432,0.396,0.02187162545399861,0.444,0.022219990999098087,0.334,0.02109236828807993,0.377,0.20050844965379716,0.5961648106269544
160,-3.611020000000002,0.11536140740819706,0.41,0.02199545407578575,0.454,0.022265848288354075,0.334,0.02109236828807993,0.383,0.20292561628702432,0.5942228795396144
165,-3.6391400000000025,0.11586724697169613,0.4,0.021908902300206645,0.458,0.022281651644346298,0.332,0.02106067425321421,0.38050000000000006,0.20349100521365318,0.5939090046494684
170,-3.6456400000000024,0.11593013232460328,0.398,0.02189045454073533,0.458,0.022281651644346298,0.334,0.02109236828807993,0.381,0.2019960700816485,0.5959134262238918
175,-3.6362400000000026,0.11578525866793245,0.402,0.021926969694875762,0.458,0.022281651644346298,0.334,0.02109236828807993,0.382,0.20677331007878647,0.5933355088038448
180,-3.5824600000000024,0.11476700700462665,0.422,0.022086919205719934,0.462,0.022296008611408458,0.334,0.02109236828807993,0.388,0.20784714864775738,0.5952687273416513
185,-3.613600000000002,0.11539714935820566,0.41,0.02199545407578575,0.466,0.022308921982023246,0.334,0.02109236828807993,0.386,0.20349828142870854,0.594972845379318
190,-3.599640000000002,0.11518526876645305,0.414,0.0220274374360705,0.454,0.022265848288354075,0.334,0.02109236828807993,0.384,0.20439914625894556,0.5941506802921185
195,-3.816640000000003,0.1187355170991394,0.338,0.02115447943108031,0.458,0.022281651644346298,0.132,0.01513776733867977,0.265,0.20521962622623272,0.5938247542286591
200,-3.9612000000000034,0.11513115442833023,0.324,0.020929596269398033,0.458,0.022281651644346298,0.13,0.015039946808416579,0.2605,0.20579117491679036,0.5919999386315771
205,-3.9612000000000034,0.11513115442833023,0.324,0.020929596269398033,0.458,0.022281651644346298,0.13,0.015039946808416579,0.2605,0.20799363543405355,0.5951849835412308
210,-3.813080000000003,0.118657828343519,0.34,0.021184900282984576,0.46,0.022289010745208053,0.13,0.015039946808416579,0.265,0.2035458270725266,0.5933413955357348
215,-3.9015800000000027,0.1144101438125135,0.346,0.021273645667821018,0.462,0.022296008611408458,0.13,0.015039946808416579,0.267,0.20558216658102862,0.5950987823570026
220,-3.926580000000003,0.11474903139983371,0.336,0.02112363605064242,0.454,0.022265848288354075,0.13,0.015039946808416579,0.2625,0.20755702397481207,0.5955795006138022
225,-3.9612000000000034,0.11513115442833023,0.324,0.020929596269398033,0.458,0.022281651644346298,0.13,0.015039946808416579,0.2605,0.2069090557720782,0.5923810668437623
230,-4.023220000000003,0.11371578809998209,0.32,0.020861447696648473,0.444,0.022219990999098087,0.132,0.01513776733867977,0.257,0.20901138169844893,0.5920416596682694
235,-3.969260000000003,0.1152095035350818,0.322,0.020895741192884256,0.458,0.022281651644346298,0.098,0.013296315279053818,0.244,0.20879836951326972,0.595066591724992
240,-4.617540000000003,0.09399209486334488,0.24,0.019099738218101316,0.336,0.02112363605064242,0.08,0.01213260071048248,0.18400000000000002,0.21782642106533356,0.6046832082059275
245,-4.472080000000003,0.0959735471221108,0.284,0.020166506886419373,0.4,0.021908902300206645,0.092,0.012925633446759968,0.21699999999999997,0.22088324022285455,0.6066567252875138
250,-4.574700000000003,0.09411538567099444,0.254,0.019467100451787882,0.342,0.021214900423994452,0.082,0.012269963325128565,0.19000000000000003,0.22158345088486792,0.6054483211093954
255,-4.534660000000003,0.09568579920134454,0.26,0.019616319736382767,0.372,0.021615549958305478,0.082,0.012269963325128565,0.199,0.2205798335655006,0.6071984107337037
260,-4.580940000000004,0.09419784834485352,0.252,0.019416281827373642,0.342,0.021214900423994452,0.082,0.012269963325128565,0.18950000000000003,0.22372496827797275,0.607367078514148
265,-4.529460000000003,0.09587691180258168,0.258,0.019567115270269147,0.378,0.02168483340955148,0.07,0.011410521460476731,0.194,0.2219026804275806,0.6062689932167034
270,-4.759660000000004,0.08993192185647998,0.218,0.018464885594013304,0.278,0.020035768016225385,0.066,0.011103512957618413,0.157,0.22513139537135277,0.6132695011264769
275,-4.759660000000004,0.08993192185647998,0.218,0.018464885594013304,0.278,0.020035768016225385,0.064,0.010945684080951725,0.156,0.2255563417892285,0.6116687606573868
280,-4.755100000000004,0.09012918938945376,0.218,0.018464885594013304,0.278,0.020035768016225385,0.066,0.011103512957618413,0.157,0.2302441882693867,0.6095564295129086
285,-4.684920000000003,0.0919472783022968,0.234,0.018933779337469845,0.322,0.020895741192884256,0.07,0.011410521460476731,0.17400000000000002,0.22731872597884703,0.6103119941799401
