testbed,n_transitions,n_pairs,n_significant_pairs,threshold_skipped_reason,spearman_n_eff_vs_count,spearman_n_eff_vs_count_p,pearson_log_log_n_eff_vs_count,pearson_log_log_n_eff_vs_count_p,spearman_weight_no_threshold,spearman_weight_no_threshold_p,pearson_weight_no_threshold,pearson_weight_no_threshold_p,spearman_weight_thresholded,spearman_weight_thresholded_p,pearson_weight_thresholded,pearson_weight_thresholded_p
current-maze,399490,1165,907,,0.6655313799211928,0.0,0.6958855861017114,0.0,0.6655313799211928,0.0,0.5814452328983798,0.0,0.5633145178408911,0.0,0.527326045330514,0.0
new-maze-layout,473193,261,204,,0.7312696984327408,0.0,0.7848229155868277,0.0,0.7312696984327408,0.0,0.6341384047475523,0.0,0.5444678657665311,0.0,0.6358159903538024,0.0
frozen-lake,55791,44,20,,0.5369314633695431,0.0,0.6222635628998098,0.0,0.5369314633695431,0.0,0.5912579692148157,0.0,0.5151881633039508,0.0,0.5317718080439333,0.0
river-swim,160000,3,0,"only 3 unique pairs, need >= 40 for a trustworthy reference group",0.999999875716786,0.0,0.943571369644562,0.0,0.999999875716786,0.0,0.9576406567720444,0.0,,,,
taxi (onehot),100000,1256,949,,0.3220178337734146,0.0,0.3470354458195259,0.0,0.3220178337734146,0.0,0.2493211653238009,0.0,0.33412315899955874,0.0,0.3082955694814946,0.0
blackjack,11338,496,332,,0.030533835089310967,0.0011473972814305237,0.2752434210107436,3.201548902196398e-196,0.030533835089310967,0.0011473972814305237,-0.04026488813114795,1.797433661888414e-05,0.06302534708520459,1.8565690129243837e-11,0.0074203464233709385,0.42950289986477724
